,basin,D_P,D_ET,P_ET,D_var,P_var,ET_var,year
0,TNL,-0.779652401768749,0.734898366731316,-0.5332384463626525,10544.801992155019,56542.30286682677,5505.056153201594,2001
1,TNL,-0.47361278296064496,0.812804513251712,-0.527499572108362,3934.866950483466,78067.17540547738,6418.786193733751,2002
2,TNL,-0.629270832664115,0.7274075578926374,-0.5451513626252066,9298.050169100328,140611.18132275582,8455.946591620122,2003
3,TNL,-0.5237630365496556,0.7896557811231563,-0.5213860719396775,5916.155335895531,86147.63545220117,6529.26500484847,2004
4,TNL,-0.203995860275852,0.5734370713580454,-0.5825977854058362,1421.1127096953571,114196.1471333311,4168.3901580573975,2005
5,TNL,-0.3967979488655068,0.7028834024455543,-0.554386465806647,3282.166165127131,122594.12999051897,6943.777709287913,2006
6,TNL,-0.38189192255805415,0.7728535248111643,-0.43815335294277674,4254.090390384941,20971.40604728252,6720.989068891447,2007
7,TNL,-0.4150342146994161,0.7739556658955006,-0.4820086266449406,3720.998922762722,35001.49890816374,6354.369065286734,2008
8,TNL,-0.2558026587320194,0.7607117040649313,-0.3866564697840079,1560.6285420495303,66191.38036902457,4884.559283196764,2009
9,TNL,-0.6882121648774145,0.8133062088089907,-0.5293899487712351,6723.982509557105,129573.99042093591,3331.636480271554,2010
10,TNL,-0.41949412278258463,0.7385844846965686,-0.4956854592076807,1982.0037788358993,127150.77356830258,3883.0336653759737,2011
11,TNL,-0.4320219988251288,0.7634699670545013,-0.3682288173304265,4917.549103682984,42464.10643304549,4755.141624611407,2012
12,TNL,-0.7741236564995435,0.7515683699082726,-0.49519759213726516,7391.537173669875,60458.12546673664,5320.606552180169,2013
13,TNL,-0.5734729694750645,0.6860789373543091,-0.2735273784498152,8479.40490537143,20820.352541398373,5077.062644168207,2014
14,TNL,-0.41248667244584203,0.6881356064064328,-0.22744697256862106,3865.4735543583624,53327.32973144213,5565.735616972776,2015
15,TNL,-0.48788408338351735,0.7382700244879359,-0.3192172323566627,4717.924955745829,52632.1629624947,3164.977133040007,2016
16,TNL,-0.5053237215609105,0.6780496172856981,-0.4226972185528543,5780.401400950956,176304.16687560282,3282.990937270056,2017
17,TNL,-0.5565299009763816,0.5197236751784454,-0.1508949529925945,5032.950689553382,28404.603604298874,3248.8120080451495,2018
18,TNL,-0.44855124454835604,0.7348061280950803,-0.38548961228875434,4155.366327667609,82484.71300131481,4402.456065602832,2019
19,TNL,-0.2676890977682248,0.7428396202669213,-0.27502168444789654,2450.544517597465,14980.907763727173,4613.252929187179,2020
20,TNL,-0.5795443337372185,0.7451088860959951,-0.3382225840212676,7132.022244121086,13107.381163731525,8037.941640434016,2021
21,TNL,-0.5681079266866462,0.7669214967176458,-0.44269123426857776,7913.457594225357,14063.017930623882,6139.0900633342935,2022
22,TNL,-0.6276116995575532,0.8302455033935242,-0.5269014883047887,4626.562193688077,56956.654079633394,8683.487869299446,2023
