,basin,D_P,D_ET,P_ET,D_var,P_var,ET_var,year
17,TNL,-0.6336338369135947,0.6653722837896219,-0.1576338710061745,4706.590174318459,28430.628664256914,3313.6503793828,2018
18,TNL,-0.43508157509065176,0.9645310164950117,-0.3859319550475764,1917.7857020534504,82112.77575362957,4450.214621288707,2019
19,TNL,-0.4677108114938315,0.8719874149285775,-0.28005341596814165,3768.1921778295336,14981.500503857518,4658.406801613502,2020
20,TNL,-0.5934239349318526,0.8343630473806425,-0.34992103785175116,9782.727506013143,13225.322169762761,8122.356507420645,2021
21,TNL,-0.542581295355082,0.816235505338445,-0.4486393347910229,8171.428676440589,14332.23246843869,6179.681058414413,2022
22,TNL,-0.5519130215682105,0.9528469275554773,-0.5295034121410772,4372.984224291044,58043.702731273086,8718.801098005923,2023
23,SIS,0.2685737817859294,0.8025345949819029,0.7493272624081565,7978.623893235911,148360.37598487907,19596.537504992764,2001
24,SIS,0.19392689402975904,0.7354910515961749,0.7271608980562844,14627.655771379945,289592.72320733115,20146.776587101238,2002
25,SIS,0.24233869783335082,0.67083884682495,0.7359705494750857,20346.21287602557,414990.52934938343,17554.098887719272,2003
26,SIS,0.13530657987823572,0.6082727416548279,0.7353703935108415,27683.24431627818,288855.1937918977,22807.398747085528,2004
27,SIS,-0.13287896347492958,0.3016277705715389,0.7316032773547064,28589.390413546822,303984.06681609474,11202.950280204577,2005
28,SIS,0.22141473000329545,0.6299500515638669,0.7315079012516523,24461.391867172835,588350.9327275351,19809.106125978633,2006
29,SIS,-0.020438649835583203,0.4656490278751306,0.7646349897390149,44163.7753254931,121081.01820778163,24352.034278621584,2007
30,SIS,-0.022162180441738694,0.4691514020812352,0.7390318288201129,68077.0927665177,137064.68977396537,22594.723058677893,2008
31,SIS,-0.30940152547937727,0.17284296155241266,0.742982883451852,67811.59179835174,233125.34427293847,16936.713593787532,2009
32,SIS,-0.37731914465562155,0.028424045663628977,0.7435273769674569,61479.87914214737,414332.7827050315,10010.100565452107,2010
33,SIS,-0.2961989257427436,0.14731157506247716,0.7069148209172753,51523.9735536043,353061.5620519157,11226.933578545568,2011
34,SIS,-0.2957772423138526,0.06662274936555418,0.7749186709118858,82460.2055117418,151388.32636971463,18561.809588532004,2012
35,SIS,-0.3462159855758233,0.057475947809016055,0.7596120168537503,60421.796297423665,179611.74684391782,20726.90706181436,2013
36,SIS,-0.3569528273004981,0.0489583116149901,0.7182620654987281,113298.2096249955,67298.2183813489,22656.191603914293,2014
37,SIS,-0.2939324267074219,0.13556060464571928,0.720836001662394,124754.94514846278,166281.96135775687,21262.077685666223,2015
38,SIS,-0.29115454356268106,0.009919596636947586,0.8049356261730699,87045.6846888001,310326.33408105664,13517.630758908095,2016
39,SIS,-0.14531490691632884,0.17288444590490895,0.7709187100236362,98849.58126469857,788251.2993710969,14477.179986395426,2017
40,SIS,-0.16277691847949569,0.160010369608058,0.7419928798443051,98229.1098871155,84919.05935293074,15111.280156218665,2018
41,SIS,-0.1076976288726014,0.17688511094024123,0.765705643201883,44390.54585241706,461348.525155889,13083.350577016501,2019
42,SIS,-0.22959320455700916,0.11752178695126454,0.7501189238962419,75603.81688409249,90933.85055337062,20442.66017539859,2020
43,SIS,-0.2366959886454034,0.1673096244377392,0.7289150361014337,140205.40012019145,43330.33678906814,28464.551907692312,2021
44,SIS,-0.2612814680104297,0.13878926903393934,0.7444983045633927,90763.98255058669,96956.22622674915,16672.23349821247,2022
45,SIS,-0.13948817064322028,0.2438929827270636,0.7179934031101309,41397.413314720114,314523.20442508796,16174.562762509837,2023
46,FTO,0.21313281545163812,0.8973605474231404,0.5426627314402327,8403.08260385072,144411.10534614627,12010.190993377832,2001
47,FTO,-0.24022802094445497,0.5657907406848297,0.44382291749892744,17928.776142124345,271702.449948585,12818.603985698677,2002
48,FTO,-0.31037636067417806,0.3162772954219311,0.4755759222504367,24591.314685373563,470451.0004692394,9548.567189928832,2003
49,FTO,-0.243578903956041,0.3763451483208165,0.5187752655075925,30578.363159430108,210656.42228064677,14822.962280655907,2004
50,FTO,-0.39535820337567606,0.041400412501808675,0.5620854664354182,28839.47246587457,289158.3795565903,6818.709220079439,2005
51,FTO,-0.12732486718924788,0.44271620682700474,0.4134999479586296,18823.040749584034,612270.561188801,8670.004267255365,2006
52,FTO,-0.416136110729045,0.1254248819026981,0.5959545482765874,37789.811097594786,135151.87779423577,13635.976454621928,2007
53,FTO,-0.35265058321262166,0.09364135173274303,0.5587269098027825,51168.15278269943,107573.93760938945,13330.982946067776,2008
54,FTO,-0.4704624581807191,-0.03685093620914298,0.5095888506342701,45923.68463363464,221717.0484500365,8219.162658094261,2009
55,FTO,-0.40545969432888873,0.007965430706953191,0.4250475705200406,40358.01035676547,262951.1554145968,5128.083759336378,2010
56,FTO,-0.344024489308326,0.09360566125826869,0.3821117533744814,18415.718132719216,502161.0740203948,4865.952709415367,2011
57,FTO,-0.3213381781199612,0.026895914166554652,0.5267926299536252,43637.042725357474,185877.68720461582,9506.695067387673,2012
58,FTO,-0.4009735579354669,0.03828042391804152,0.4783092495637989,40504.71186694716,208101.09328454986,10997.65220265052,2013
59,FTO,-0.4952304158072829,-0.001028566941399965,0.5097583068958352,71076.74950996871,99447.92119516523,11101.80763881636,2014
60,FTO,-0.5248563225343392,0.06788035766156073,0.3587696812958577,91067.2529296211,112836.9650733408,8707.248585333513,2015
61,FTO,-0.3558576613769509,-0.07259742830650343,0.616706707436695,45040.619778337954,290701.3357635411,7149.731027957545,2016
62,FTO,-0.08169575796092966,0.23932546955171108,0.573173439629781,31237.656798507764,642863.1536765913,8144.106917227746,2017
63,FTO,-0.08440323155637453,0.2243105139625077,0.5043290929423864,34963.02911524824,147605.85693873206,7445.421386772862,2018
64,FTO,-0.19469684596316955,0.12733457864181133,0.5818707361104728,13361.97135387466,374171.85761604924,6939.183334117921,2019
65,FTO,-0.3605044062421093,0.0977424888107961,0.44634254288431097,27630.47856811413,79080.20947919163,8789.441789438233,2020
66,FTO,-0.5570165844117471,0.30958209589565927,0.1723645998034484,72049.01776770741,43128.852780221896,14782.169218830437,2021
67,FTO,-0.46223337013303195,0.2711055004631747,0.3660199163224975,38402.25631386216,134115.212996961,8697.518590812018,2022
68,FTO,-0.24747737110114731,0.5888307832500731,0.22160377900882045,12634.256949356368,326096.7763921781,9215.944457291413,2023
69,YRS,-0.1073824096812509,0.9944433063998956,-0.08463007499833212,8227.447881414568,24178.597957109385,10100.892865018324,2001
70,YRS,-0.15384634820851711,0.9856785633659042,-0.1434444666571213,6027.441764927755,43134.438614537845,12033.73720900013,2002
71,YRS,-0.05567283335207944,0.971872953173877,-0.05020956846675186,5979.248477048948,91834.93082360808,9366.838951578738,2003
72,YRS,-0.4032899561183172,0.9541558166974493,-0.14792618951639272,8999.607184256358,64783.992480677625,15508.864230491889,2004
73,YRS,-0.28001120852959316,0.9701343701850933,-0.19701560047534397,3326.0036494000983,90739.90503545506,7794.730973022162,2005
74,YRS,-0.17667006860253684,0.9779071458532967,-0.016279851736085246,6478.456133574622,176934.92988906612,10119.157687007368,2006
75,YRS,-0.437336819792251,0.9476721112175805,-0.17287223604121496,7694.348746665738,41711.81733956422,12975.377004349357,2007
76,YRS,-0.4081191350900096,0.9825369348440176,-0.26031046160750637,9186.542283118446,29659.225867112564,12287.679438665285,2008
77,YRS,-0.3059722616181793,0.9437237068359623,-0.16293886444848907,3731.834886384585,79127.35878942609,8091.200435617333,2009
78,YRS,-0.15804749325672268,0.9888293235195194,-0.17001150545934335,3341.4235093303323,61763.15261230364,6129.577186066257,2010
