,basin,Q_P,Q_ET,Q_var,Q_D,year
66,SDT,0.6426523457875842,-0.7558939891318961,100168.06665274363,-0.8292899578830836,2021
67,SDT,0.6804861711765609,-0.7590491976734512,17888.102626048712,-0.8273500888033185,2022
68,SDT,0.8723199490377398,-0.20395319143308377,59941.554890739586,-0.2822146321066454,2023
69,MSS,0.8353611815927586,-0.08383406648780156,36727.82076730871,-0.6426655472228481,2001
70,MSS,0.8430074514972605,-0.013326957332749812,90410.93339729456,-0.2582754070619151,2002
71,MSS,0.8047566404992958,-0.20082608436411956,74474.06803023502,-0.2095047408041609,2003
72,MSS,0.7744815591549379,-0.15991320072710455,43391.306454911064,-0.2647005620561149,2004
73,MSS,0.8648846761205968,-0.03785648069534579,90287.52097375931,-0.37819948175163315,2005
74,MSS,0.8257809130874089,-0.12116570055963893,75347.09387265217,-0.16845728785837238,2006
75,MSS,0.6751270682758271,-0.2205381638767438,18065.662851696165,-0.48817113852986793,2007
76,MSS,0.8214344916696328,-0.008775867316239415,37277.164087200195,-0.011716529774752507,2008
77,MSS,0.7870759192774662,-0.19383403210468644,80555.04718925508,-0.25120510780061506,2009
78,MSS,0.8891188073182543,0.08453612375988717,158220.00490827498,-0.19100361287142828,2010
79,MSS,0.8117089454767242,-0.1264985651818434,27509.17742302504,-0.5527071834216958,2011
80,MSS,0.858788547975714,-0.19467166605988742,124180.27959836603,-0.3091194104948381,2012
81,MSS,0.39417535288840005,-0.6455251530025344,3230.4016808236192,-0.6358194817577196,2013
82,MSS,0.8068248082879814,-0.3353163569507355,107503.73486107842,-0.5505825790921439,2014
83,MSS,0.5463022431715489,-0.5984228640155201,15076.022957326102,-0.6395186434693348,2015
84,MSS,0.8881059919699806,-0.02736379301935771,141110.72729566827,-0.41347800076601604,2016
85,MSS,0.8984863296270705,0.016964373383119864,69962.33487216325,-0.116835255522105,2017
86,MSS,0.7811720116074112,-0.39448761557489453,32244.22259441176,-0.47664629752073945,2018
87,MSS,0.8933984249267074,0.019256086918356438,116636.64253112893,-0.13505332338809511,2019
88,MSS,0.8377237753710864,-0.15804963350755125,20607.720727558175,-0.25767157861733236,2020
89,MSS,0.675953431507143,-0.5883316851219849,74824.91739249726,-0.6847603990254422,2021
90,MSS,0.5818479497573763,-0.6140353811335292,14656.392381507787,-0.702884352995311,2022
91,MSS,0.8932735508872695,0.07710493214444837,63270.66587406224,-0.07988950167927844,2023
92,PSH,0.8789540915815053,0.4393431872296892,32472.951035056867,-0.01753704286011523,2001
93,PSH,0.9403203012706021,0.493946014621908,103474.19759517309,0.04647810129598179,2002
94,PSH,0.9521227164875139,0.5293994805014725,113564.77482158774,0.019262554006214606,2003
95,PSH,0.9437900410920015,0.47415758916691136,71426.1786899851,-0.07525853043293458,2004
96,PSH,0.9425958990145917,0.5281492799538844,224552.98042294124,-0.18721417717666256,2005
97,PSH,0.9641479071924889,0.559336947214596,185204.6954619195,0.07019327796622586,2006
98,PSH,0.8665293560652806,0.3865328812541743,21988.25953696909,-0.14292304190350888,2007
99,PSH,0.8955252247850192,0.40081884960289127,41493.95122030516,-0.1304142986878039,2008
100,PSH,0.8826254186433693,0.42443850357172963,53304.725057714,-0.24955174441672445,2009
101,PSH,0.9456355978239291,0.551209451751415,284867.9151803916,-0.3400541553052732,2010
102,PSH,0.9352130496868081,0.5253093592707488,82273.81723868202,-0.3518373587068155,2011
103,PSH,0.9044213958569314,0.5051815102370483,146224.80681706575,-0.2570245294716961,2012
104,PSH,0.8154897721635932,0.3193208454524081,2969.889238199735,-0.3570321506541734,2013
105,PSH,0.8759309421791177,0.35147680308012175,96983.99723394772,-0.2862581075067108,2014
106,PSH,0.7783791994312556,0.1860516967674064,17449.464643286214,-0.3702804471505725,2015
107,PSH,0.946438197940368,0.5722257975126119,325584.0894594653,-0.31647063404405984,2016
108,PSH,0.960582439278794,0.586325644920708,275258.0579086378,-0.2510204122510749,2017
109,PSH,0.8907767962802596,0.38206885898603243,32565.195529156706,-0.17603357322223498,2018
110,PSH,0.9513719449666409,0.5870794587672246,225867.01881724494,-0.21500610982016308,2019
111,PSH,0.9034049887619208,0.4666367499384042,18306.960544048383,-0.19122598524064333,2020
112,PSH,0.7864801220433498,0.29287635643220056,29424.26213407763,-0.2363811918008147,2021
113,PSH,0.7218986880667402,0.1780960680027672,15080.131243530594,-0.33474124745809997,2022
114,PSH,0.9182368175606763,0.49602617511713054,139600.95901649722,-0.2502926707487134,2023
115,FTO,0.873376585161605,0.20916338468046577,52013.73715730695,-0.12137503051474195,2001
116,FTO,0.9506358835985339,0.27036315618662005,246954.4595106288,-0.27934923925559535,2002
117,FTO,0.9703649139263116,0.3585919853382913,232206.11384697462,-0.3415335705057039,2003
118,FTO,0.9470526060256482,0.3117145343215852,116953.78889487236,-0.37513052917379947,2004
119,FTO,0.9475615378266263,0.372981941927328,522596.3086821544,-0.39435920703053373,2005
120,FTO,0.9566750631123526,0.34161015951551954,270972.410333725,-0.255395480964693,2006
121,FTO,0.8957182088112623,0.29389503863715877,56793.7657490643,-0.383763159753058,2007
122,FTO,0.9110791469571552,0.27781195178829715,87411.17091948658,-0.3409732756345842,2008
123,FTO,0.932229224250221,0.2657000707396663,161144.3730776786,-0.4200176451273278,2009
124,FTO,0.9639020610312043,0.29626041898822125,601956.8986589004,-0.4079208998331164,2010
125,FTO,0.9577381145335064,0.3296274196295082,168772.82393098465,-0.4382305250624246,2011
