,ET,P,SWE,wy,sumP,P_adj,D
2000-10-31,36.51251238984304,104.56778089109905,0.0,2001,104.56778089109905,104.56778089109905,0.0
2000-11-30,12.5313456721152,27.01992578426052,-0.3532548963081794,2001,131.58770667535956,27.373180680568698,0.0
2000-12-31,14.07562868316243,25.53677815165283,-5.265130358011561,2001,157.1244848270124,30.80190850966439,0.0
2001-01-31,13.452429130097867,157.54850926554997,69.40916379885046,2001,314.67299409256236,88.13934546669951,0.0
2001-02-28,24.444699309773107,184.72235809441915,99.9004342264103,2001,499.39535218698154,84.82192386800885,0.0
2001-03-31,45.40735352952841,86.53603294831841,-49.72077980576927,2001,585.9313851352999,136.25681275408766,0.0
2001-04-30,44.16092991403703,113.82102820007164,-19.811787175005776,2001,699.7524133353716,133.63281537507743,0.0
2001-05-31,73.67224783290379,0.7060166104899757,-118.88247058611559,2001,700.4584299458616,119.58848719660557,0.0
2001-06-30,68.17217682783973,0.035486243195368125,-0.4303345885659716,2001,700.4939161890569,0.46582083176133976,67.7063559960784
2001-07-31,70.90357656472457,15.130947557242822,0.0,2001,715.6248637462998,15.130947557242822,123.47898500356015
2001-08-31,60.376295121555636,0.5450374087921782,0.0,2001,716.1699011550919,0.5450374087921782,183.31024271632361
2001-09-30,48.97995350429815,10.158576959562625,0.0,2001,726.3284781146546,10.158576959562625,222.13161926105914
2001-10-31,27.358806249887373,31.021510610331454,5.382875984216501,2002,31.021510610331454,25.638634626114953,223.85179088483156
2001-11-30,21.93874245345924,179.65195510397686,55.79919280733678,2002,210.67346571430832,123.85276229664008,121.93777104165072
2001-12-31,10.067886608156574,272.18711901457687,113.928253544981,2002,482.8605847288852,158.25886546959586,0.0
2002-01-31,11.885705224082315,74.62475043223453,21.108340390263407,2002,557.4853351611198,53.51641004197113,0.0
2002-02-28,29.743950408159602,60.484451999608254,7.998540566836567,2002,617.969787160728,52.48591143277169,0.0
2002-03-31,48.35978159407493,115.37913434420707,18.410172789679507,2002,733.3489215049351,96.96896155452757,0.0
2002-04-30,36.207410664408144,45.0803785250465,-71.98627051764834,2002,778.4293000299816,117.06664904269483,0.0
2002-05-31,65.33870434108806,49.48915171323805,-103.74297760400711,2002,827.9184517432196,153.23212931724515,0.0
2002-06-30,74.11507325248232,1.6554191654675552,-46.89812796165833,2002,829.5738709086871,48.55354712712589,25.56152612535643
2002-07-31,66.98374497684395,0.49568264059438627,0.0,2002,830.0695535492815,0.49568264059438627,92.04958846160599
2002-08-31,58.76602526444778,0.04144741324768863,0.0,2002,830.1110009625293,0.04144741324768863,150.77416631280607
2002-09-30,44.95993512695297,11.496089826937988,0.2885353417055548,2002,841.6070907894673,11.207554485232434,184.52654695452662
2002-10-31,22.334782404988026,2.995769861101792,-0.2885353417055548,2003,2.995769861101792,3.284305202807347,203.5770241567073
2002-11-30,25.955053069756552,185.6884644848134,36.410226842759585,2003,188.6842343459152,149.27823764205382,80.25383958441003
2002-12-31,10.97487899374696,295.8947699325541,166.89886668708672,2003,484.57900427846926,128.99590324546736,0.0
2003-01-31,18.413301857891984,30.00184419793105,-26.72996882939043,2003,514.5808484764003,56.73181302732148,0.0
2003-02-28,25.6462660155335,75.12192353463543,19.332912920487843,2003,589.7027720110358,55.789010614147585,0.0
2003-03-31,45.91238390427622,87.03376110999801,-0.7922199600006934,2003,676.7365331210337,87.8259810699987,0.0
2003-04-30,40.33716829149623,219.10414674655422,94.60380894037937,2003,895.840679867588,124.50033780617485,0.0
2003-05-31,79.59213882832071,64.1024662198869,-197.1517089782165,2003,959.9431460874749,261.25417519810344,0.0
2003-06-30,70.584213504406,0.3140542914061209,-92.57191762310588,2003,960.2572003788811,92.885971914512,0.0
2003-07-31,72.05686771304494,7.896086649313437,0.0,2003,968.1532870281945,7.896086649313437,64.1607810637315
2003-08-31,77.40156920692701,29.317001641201557,0.0,2003,997.470288669396,29.317001641201557,112.24534862945696
2003-09-30,52.67047879912785,6.784221028280947,0.0,2003,1004.254509697677,6.784221028280947,158.13160640030387
2003-10-31,27.5063809849891,1.2722847797131789,0.39983063368227584,2004,1.2722847797131789,0.872454146030903,184.76553323926206
2003-11-30,18.777830717387793,76.75023842978283,24.85420082521035,2004,78.022523209496,51.89603760457248,151.64732635207736
2003-12-31,9.996362784495346,289.4332994537939,134.2492027170682,2004,367.4558226632899,155.1840967367257,6.459592399846997
2004-01-31,13.274180166867897,91.49703246837167,15.329940001080985,2004,458.9528551316616,76.16709246729069,0.0
2004-02-29,21.74639540122178,203.1835920309496,95.68901461234921,2004,662.1364471626111,107.49457741860039,0.0
2004-03-31,51.57717333717767,39.226180821114276,-82.53175618457306,2004,701.3626279837255,121.75793700568732,0.0
2004-04-30,56.128889769880885,11.995964493119589,-105.6820417650133,2004,713.358592476845,117.67800625813288,0.0
2004-05-31,43.50372839817638,17.18390076604498,-62.06969243797407,2004,730.54249324289,79.25359320401905,0.0
2004-06-30,69.20918890670897,1.8324724539129138,-20.23869840183059,2004,732.3749656968029,22.071170855743503,47.13801805096547
