,basin,Q_P,Q_ET,Q_var,year
0,11446500,0.8397168652887725,-0.27460955695742634,29437.845235787623,2001
1,11446500,0.8546609536678077,-0.3093731411028426,89817.71014452155,2002
2,11446500,0.9269703564593996,-0.23184096812495023,128512.44930064977,2003
3,11446500,0.8058811979766404,-0.5093026302028607,124941.78147611355,2004
4,11446500,0.9362839678806193,-0.13816812466219086,113211.47594847366,2005
5,11446500,0.9675865477178697,0.02496860662993463,245283.7662604889,2006
6,11446500,0.7453919767405577,-0.46637022119128974,62317.831924358754,2007
7,11446500,0.8550279598129407,-0.37898149928577035,92302.29997605321,2008
8,11446500,0.8452533196527856,-0.3447783493160193,137636.40064576507,2009
9,11446500,0.9044199397286048,-0.23994247970271917,235626.35890397863,2010
10,11446500,0.9729926625850007,-0.06840856242718273,118660.07816244898,2011
11,11446500,0.8704267649062101,-0.05454850731398445,75442.65217544971,2012
12,11446500,0.8364493777242871,-0.2282611933170543,44895.05381627415,2013
13,11446500,0.7930937965169228,-0.3407916001290033,44363.4515251648,2014
14,11446500,0.6549524528576677,-0.34885541749261223,30357.112227280388,2015
15,11446500,0.8964738939797704,-0.08247551847148145,256524.56119814506,2016
16,11446500,0.9830262439003716,0.04631937750515853,261385.35607198125,2017
17,11446500,0.8721790665823348,-0.02711012816125727,56858.420543390515,2018
18,11446500,0.8887850381679024,-0.17535685591156125,123991.79403731371,2019
19,11446500,0.7685447467472424,-0.24908747360655867,35533.628695313266,2020
20,11446500,0.6770041584646793,-0.5232582794998569,83852.16287563022,2021
21,11446500,,,,2022
22,11446500,,,,2023
23,11270900,0.9186396872505409,-0.49945084721045757,42862.03299050202,2001
24,11270900,0.7711566280255229,-0.7603204539162228,97680.79662417313,2002
25,11270900,0.8742141629999143,-0.6346304115473551,110321.65534726027,2003
26,11270900,0.7901274588715644,-0.74830678187642,161588.10693354675,2004
27,11270900,0.9537023953417271,-0.49046227655137853,79142.61607549629,2005
28,11270900,0.919468084819198,-0.5612926101567537,186764.11218450963,2006
29,11270900,0.6234406119154736,-0.7687135694628466,34476.457634774844,2007
30,11270900,0.7280129920188901,-0.812812673459181,120028.90627328832,2008
31,11270900,0.7221736823920223,-0.7100166258070447,163034.99273108869,2009
32,11270900,0.8594754987309237,-0.645618180306358,222960.60595725328,2010
33,11270900,0.965547799069912,-0.5230407776216739,147153.15173797292,2011
34,11270900,0.6959571653638756,-0.6692614283494493,48733.77384012905,2012
35,11270900,0.737224891721062,-0.7361192052633012,56604.87624112528,2013
36,11270900,0.5612984726055964,-0.7075461783449882,15805.974632843108,2014
37,11270900,0.5058172550303083,-0.6779734035602614,24032.28153163999,2015
38,11270900,0.6366309049496824,-0.4650788559227493,168082.94306714475,2016
39,11270900,0.8802509866799442,-0.0022166300509809836,296969.68638086435,2017
40,11270900,0.6193097435483136,-0.33860837664755944,57758.36862908546,2018
41,11270900,0.8572011212021612,-0.47116883314136154,92741.37662203997,2019
42,11270900,0.6430507772042321,-0.6235441312462722,28538.574628502625,2020
43,11270900,0.5565210284170518,-0.676226116716952,45168.16398957423,2021
44,11270900,0.7051463119468907,-0.7064680331277029,55004.57681813637,2022
45,11270900,0.904406447216601,-0.5345659770118304,212650.0101741687,2023
46,11403800,0.9582209490864688,0.10344043772946887,75818.66450352831,2001
47,11403800,0.9407833038957375,-0.07355076202188897,114152.01033161237,2002
48,11403800,0.9734859307795541,-0.05946867139264079,290890.79953170585,2003
49,11403800,0.9532668070067419,-0.07795048741576857,138634.45098234486,2004
50,11403800,0.9487115149464975,0.04646903563624013,159406.21410187994,2005
51,11403800,0.9726727389600818,-0.01277610991375968,437721.51193370286,2006
52,11403800,0.8646683925277612,-0.10003027789972257,54468.421162325794,2007
53,11403800,0.8998947454815805,-0.03660165429361458,92930.63916286564,2008
54,11403800,0.9394452019446702,0.022941817473863,134431.25000564833,2009
55,11403800,0.9760005239663102,-0.0001896593420733776,286055.0867430949,2010
56,11403800,0.9743138858943506,0.09756999689788712,278825.81436870946,2011
57,11403800,0.940089318796944,0.05498087456565249,132758.51185085272,2012
58,11403800,0.9668137573409098,-0.026179751428755296,78196.85566225144,2013
59,11403800,0.8693197262942007,-0.08915485058246488,65031.34728477954,2014
60,11403800,0.9449603284494759,-0.11221286548638877,64454.59520498461,2015
61,11403800,0.943954393151478,0.12074576360500962,411540.0778910672,2016
62,11403800,0.9227941326851918,0.27798808516706575,465804.0441755888,2017
63,11403800,0.962613571640257,0.07368349860450554,70650.79364987336,2018
64,11403800,0.9661032080045688,0.2037412676477744,208693.03313376172,2019
65,11403800,0.9205414163942657,-0.028376796540505934,31176.834069328805,2020
66,11403800,0.8487820365021712,-0.15430936122224792,42961.70866522209,2021
67,11403800,0.8906148418522909,-0.04169229722185308,42434.82019571321,2022
68,11403800,0.9439760107769626,-0.19508665049846974,222176.52175528754,2023
69,11234760,0.9123776521218631,-0.7374695703081375,35658.95980923062,2001
70,11234760,0.7202390962068344,-0.75397040147993,46972.26217415999,2002
71,11234760,0.7906207143054381,-0.5008344119938091,29222.886618266595,2003
72,11234760,0.5790649011824875,-0.8375727197621221,90550.22407633171,2004
73,11234760,0.9740149490197293,-0.5628498375129709,46986.854936737574,2005
74,11234760,0.8035758270814641,-0.7016156697349043,69105.55500815719,2006
75,11234760,0.7890804065958318,-0.8953738317371358,28641.031837249346,2007
76,11234760,0.8197360722927122,-0.9093374595690005,133934.86507774188,2008
77,11234760,0.7214319038126155,-0.8451427029904066,82403.90140691791,2009
78,11234760,0.8434055066622779,-0.6192813648620263,61371.97887575063,2010
79,11234760,0.9287342452703949,-0.5608116913520563,63033.51988592001,2011
80,11234760,0.48719919295529696,-0.8985194550134437,31573.653164365754,2012
81,11234760,0.6086105985869064,-0.8392867685612801,33806.67310903528,2013
82,11234760,0.7659579844525569,-0.8848332904021489,23828.06247765851,2014
