,ET,P,SWE,wy,sumP,P_adj,D
2000-10-31,31.810259456223964,88.12659621434153,36.349625382018246,2001,88.12659621434153,51.776970832323286,0.0
2000-11-30,13.856430232290444,16.486542600123737,-3.5982714042511077,2001,104.61313881446527,20.084814004374845,0.0
2000-12-31,18.23279508253333,7.726322181384909,-23.770845422798743,2001,112.33946099585017,31.49716760418365,0.0
2001-01-31,16.786490779749982,137.78590118356914,100.2287810622255,2001,250.1253621794193,37.557120121343644,0.0
2001-02-28,23.688928793424953,191.8008092513256,207.25163857784156,2001,441.92617143074494,191.8008092513256,0.0
2001-03-31,45.51899256394317,44.21501172975668,-2.0743107214785823,2001,486.1411831605016,46.289322451235265,0.0
2001-04-30,40.02491884798674,129.1815374483663,109.82262566344355,2001,615.3227206088679,19.358911784922753,20.666007063063986
2001-05-31,67.15645923981859,2.963809502325173,-95.42472909843343,2001,618.2865301111931,98.38853860075861,0.0
2001-06-30,60.855723922001964,0.0,-95.85032826168856,2001,618.2865301111931,95.85032826168856,0.0
2001-07-31,68.44088680157469,35.531040970853354,-96.10723927625946,2001,653.8175710820465,131.63828024711282,0.0
2001-08-31,57.43586343439924,0.05494098224051547,-98.58648385806015,2001,653.872512064287,98.64142484030066,0.0
2001-09-30,44.17329189400741,2.1275374570616705,-59.89648920399398,2001,656.0000495213486,62.02402666105565,0.0
2001-10-31,23.568336671501246,22.22522366188549,-36.018901952224496,2002,22.22522366188549,58.24412561410999,0.0
2001-11-30,24.310955176462457,138.77862404015792,99.24554173926512,2002,161.0038477020434,39.5330823008928,0.0
2001-12-31,13.659790501185626,211.93391747258147,87.14328612992989,2002,372.9377651746249,124.79063134265158,0.0
2002-01-31,13.200961392361354,86.6190615309924,-181.20652009336268,2002,459.55682670561725,267.8255816243551,0.0
2002-02-28,19.475333931901368,20.63493977157826,-0.943335814800605,2002,480.19176647719553,21.578275586378865,0.0
2002-03-31,38.749329834012464,109.69932478247425,47.61932467201788,2002,589.8910912596698,62.08000011045637,0.0
2002-04-30,26.411658263692242,32.879655740840164,-20.13334469506441,2002,622.7707470005099,53.01300043590457,0.0
2002-05-31,50.2533600386767,30.392545524031725,-25.7736630620131,2002,653.1632925245417,56.166208586044824,0.0
2002-06-30,61.82118838777998,1.4542535891702812,-54.358182927798325,2002,654.6175461137119,55.8124365169686,6.0087518708113805
2002-07-31,57.01040311255382,1.8920158305555625,-56.13452275784229,2002,656.5095619442675,58.026538588397855,4.992616394967342
2002-08-31,44.46132836061422,0.48294554067405204,-30.4932902567367,2002,656.9925074849416,30.97623579741075,18.47770895817081
2002-09-30,31.97013790086792,2.817411940942068,-13.334140308678926,2002,659.8099194258837,16.151552249620995,34.29629460941773
2002-10-31,15.678635264866363,1.6621329796078321,-3.04941326431719,2003,1.6621329796078321,4.711546243925022,45.26338363035907
2002-11-30,28.000186016529685,259.70621618935115,22.723348869752822,2003,261.36834916895896,236.98286731959834,0.0
2002-12-31,14.044376913691096,158.6998514179104,115.70432772929954,2003,420.06820058686935,42.99552368861086,0.0
2003-01-31,14.749569261228903,20.468847396251434,-21.435564505706225,2003,440.5370479831208,41.90441190195766,0.0
2003-02-28,25.798987959573644,88.81365273584481,33.93121609746328,2003,529.3507007189656,54.882436638381535,0.0
2003-03-31,47.55561203582199,85.19475329180302,27.551441260970932,2003,614.5454540107686,57.64331203083209,0.0
2003-04-30,44.784288049358864,110.8794503760533,54.14446858204332,2003,725.4249043868219,56.73498179400998,0.0
2003-05-31,69.68182701383614,62.51220811422417,-13.476521883781174,2003,787.937112501046,75.98872999800534,0.0
2003-06-30,51.65364090521904,4.030886437819916,-52.21447166585796,2003,791.967998938866,56.24535810367787,0.0
2003-07-31,52.90499435964732,32.350077609023515,-58.85237253298227,2003,824.3180765478895,91.20245014200579,0.0
2003-08-31,63.59539194695767,20.876043645090142,-41.069979062746214,2003,845.1941201929797,61.946022707836356,1.649369239121313
2003-09-30,41.130339572254066,11.129063403336307,-32.065983049363815,2003,856.323183596316,43.195046452700126,0.0
2003-10-31,19.355377212975114,0.8822935652119144,-15.406721491252831,2004,0.8822935652119144,16.289015056464745,3.066362156510369
2003-11-30,12.441995533761542,56.48746209549973,28.79689252847784,2004,57.36975566071165,27.69056956702189,0.0
2003-12-31,13.484426640882202,193.70566661434518,137.08939105567836,2004,251.07542227505684,56.616275558666814,0.0
2004-01-31,12.407160715519025,94.32830271607138,-18.821467211901307,2004,345.4037249911282,113.14976992797268,0.0
