,ET
2000-10-31,28.35561256606687
2000-11-30,8.840448957776587
2000-12-31,10.104566779499967
2001-01-31,8.244033493675397
2001-02-28,18.150982837460653
2001-03-31,35.07548429241641
2001-04-30,36.61431676465347
2001-05-31,48.878242175901164
2001-06-30,43.29337846665479
2001-07-31,53.00393134984263
2001-08-31,43.14098461903912
2001-09-30,34.31265514579251
2001-10-31,18.60110932953263
2001-11-30,17.24994595878615
2001-12-31,5.441767325850703
2002-01-31,7.080653245442129
2002-02-28,19.427267652473425
2002-03-31,38.86481144961102
2002-04-30,22.451371221568976
2002-05-31,40.13746659540352
2002-06-30,48.11014430785674
2002-07-31,47.84049884197398
2002-08-31,42.57728368667973
2002-09-30,31.110569511253637
2002-10-31,15.232724033493676
2002-11-30,20.241653304828073
2002-12-31,7.239508284339925
2003-01-31,10.637942870716788
2003-02-28,17.248492190747665
2003-03-31,33.98183740127085
2003-04-30,34.13068234455728
2003-05-31,61.43196151790485
2003-06-30,43.01944771067165
2003-07-31,49.15296632816675
2003-08-31,61.097390581388424
2003-09-30,38.139875289506506
2003-10-31,18.065481323118945
2003-11-30,11.513895124413565
2003-12-31,5.141203159332502
2004-01-31,6.463181899162658
2004-02-29,14.411302333867807
2004-03-31,33.416378644812625
2004-04-30,30.690953144486016
2004-05-31,24.71220381257795
2004-06-30,45.06771661025002
2004-07-31,53.27179048637092
2004-08-31,40.79729675158857
2004-09-30,30.97669932893877
2004-10-31,21.43371459112774
2004-11-30,9.50750044539462
2004-12-31,6.873937882297048
2005-01-31,6.7912821426450485
2005-02-28,19.1836427341291
2005-03-31,35.662934853613635
2005-04-30,34.53261595106598
2005-05-31,78.74917988004037
2005-06-30,43.9816188609775
2005-07-31,51.52257022388502
2005-08-31,46.73997743333927
2005-09-30,32.7179333689649
2005-10-31,20.582628422115327
2005-11-30,22.01351624205713
2005-12-31,6.306065680859907
2006-01-31,6.512885563275727
2006-02-28,12.45009798681632
2006-03-31,27.259861036878675
2006-04-30,36.66370212007839
2006-05-31,42.25952134924875
2006-06-30,49.56049171566008
2006-07-31,56.80378644812636
2006-08-31,45.0328784369618
2006-09-30,30.561905101253043
2006-10-31,21.033191994774036
2006-11-30,18.788455371459115
2006-12-31,8.972395035334639
2007-01-31,12.435313260882477
2007-02-28,19.241921729318836
2007-03-31,30.21164202149771
2007-04-30,30.171739414454542
2007-05-31,41.42528178632935
2007-06-30,43.182607043173576
2007-07-31,47.548980343250776
2007-08-31,42.04763228220202
2007-09-30,32.83241047568145
2007-10-31,24.6418338381139
2007-11-30,23.93043292357028
2007-12-31,9.916930934140982
2008-01-31,8.413943820891976
2008-02-29,19.71679553417661
2008-03-31,31.635261001247102
2008-04-30,27.237945246154755
