,basin,Q_P,Q_ET,Q_var,Q_D,year
0,10336780,0.37372858447117835,-0.8851141911259446,4132.035298946181,-0.8683329461982732,2001
1,10336780,0.5376868811903309,-0.8470468831898557,21541.007566269374,-0.8693964087753775,2002
2,10336780,0.6128453489462018,-0.7746800204731734,19453.202846094147,-0.8459246759199253,2003
3,10336780,0.5812702824701086,-0.7933497759177073,12096.424673674104,-0.8612228402980658,2004
4,10336780,0.5690511855096508,-0.6635298890741572,55194.908171257906,-0.846052776142752,2005
5,10336780,0.6789866941997798,-0.44440265350074903,18857.313869420395,-0.5008166368397929,2006
6,10336780,0.4333952738311391,-0.7030550744219647,3888.09266659296,-0.6694512062954421,2007
7,10336780,0.516953840494607,-0.7966762085669397,11645.139355140414,-0.8040341734399883,2008
8,10336780,0.5356273203954104,-0.7080240313675544,14110.06967218746,-0.7367623371413107,2009
9,10336780,0.6025336726616843,-0.7340439031167069,97173.57103185501,-0.8127562263220295,2010
10,10336780,0.6637462338242106,-0.5666045578403176,26153.712659415592,-0.879635483148317,2011
11,10336780,0.44328875630781683,-0.7214950853092249,21937.246579338458,-0.6943635531260351,2012
12,10336780,0.22096386429803497,-0.8025546069319118,268.03528936040084,-0.8544755879183005,2013
13,10336780,0.2446213830950963,-0.7091008614874869,7020.014549130785,-0.7236934902562878,2014
14,10336780,0.2882959414269752,-0.7749669010661273,14995.368818084771,-0.8091016063184869,2015
15,10336780,0.43414625782876204,-0.5942350686338035,38223.88094992665,-0.6723991222628063,2016
16,10336780,0.6054936956558158,-0.4437791509816232,125945.65896544326,-0.8665677797325877,2017
17,10336780,0.5645748291214937,-0.6512497705372575,14357.24640663676,-0.7922506898796561,2018
18,10336780,0.5767138741311004,-0.755665114289904,29081.834260231033,-0.9314642844820451,2019
19,10336780,0.43134317024346525,-0.7903747667153236,2327.1093945330836,-0.7403217842405546,2020
20,10336780,0.3823393586733674,-0.7680394777900683,33769.09861781793,-0.8371188524403197,2021
21,10336780,0.43498864487326333,-0.2982864187034458,8589.70465234572,-0.7261914786903656,2022
22,10336780,0.5416585330833481,-0.24972282099634086,48860.792870650585,-0.43423914019135024,2023
23,10336645,0.759066768670781,-0.7391442625499561,28348.16865781177,-0.7858682137815362,2001
24,10336645,0.8531287100659392,-0.976237899548482,124441.64416724417,-0.9137873486450903,2002
25,10336645,0.8543882277072605,-0.9762916679033958,148399.59587090008,-0.9149483280301491,2003
26,10336645,0.8422803547523027,-0.9861242077702945,79878.96161259299,-0.9222976238474091,2004
27,10336645,0.8632122887987885,-0.9753262434860166,349917.9720614885,-0.9704837478639468,2005
28,10336645,0.834561849619073,-0.9943620100377877,130932.64349830811,-0.9995629731222689,2006
29,10336645,0.7949891878786555,-0.9537592890640643,40681.04477563783,-0.8177762996636025,2007
30,10336645,0.8060834947110231,-0.9746836850663575,82359.3983485076,-0.8387779770944898,2008
31,10336645,0.8382826488577321,-0.9602881577626415,97477.78763532625,-0.8173829642130175,2009
32,10336645,0.8675674238301277,-0.894585588745491,342974.09228497604,-0.9328804404186829,2010
33,10336645,0.8504443897029059,-0.9518798108989257,75648.71236706364,-0.9706285266495833,2011
34,10336645,0.8210860817853127,-0.9706882096956546,177774.95656686823,-0.9488852357504306,2012
35,10336645,0.746183899851782,-0.9809024954971475,2520.9857788821496,-0.8646152110998391,2013
36,10336645,0.683275783142854,-0.9717934883103252,49276.125980233934,-0.7354150391920014,2014
37,10336645,0.7957599668086401,-0.9622928746126335,45717.960546556664,-0.7546271519384029,2015
38,10336645,0.8389549132267422,-0.8963108531407895,236892.00592943223,-0.9819159432735503,2016
39,10336645,0.8123752504940382,-0.9890913118950246,147877.2047954569,-0.9985574768475212,2017
40,10336645,0.8536671004749335,-0.933885965265249,52015.877942359904,-0.9065905437240396,2018
41,10336645,0.7932142533028345,-0.9904782410422972,110776.30745267044,-0.9951000657310732,2019
42,10336645,0.8383645044836515,-0.9602016495037691,17030.736998309818,-0.9473553230697502,2020
43,10336645,0.8388717238758279,-0.9929072802070639,159941.99712426538,-0.8821207452627667,2021
44,10336645,0.8123445824317869,-0.9724306052254515,109202.01974979116,-0.9738536672622508,2022
45,10336645,0.8388560454179772,-0.9924827717473625,99838.09761278944,-0.9955258956552279,2023
46,10336660,0.7284541853867075,-0.954760758087753,21658.111592138277,-0.9633857116659087,2001
47,10336660,0.7438750704007931,-0.8946856707824119,165022.68324285987,-0.8811816297723688,2002
48,10336660,0.7685637338984586,-0.929490219263361,162935.29564333646,-0.9466127210737291,2003
49,10336660,0.7065502914538798,-0.9262484281511937,86676.88387309694,-0.9702417798508451,2004
50,10336660,0.7670846618418613,-0.8250414930776769,223675.84080828886,-0.8963598586576916,2005
