,SWE
2012-02-29,26.182437756788516
2012-03-31,44.78744972972905
2012-04-30,19.561136228131232
2012-05-31,-58.20981324523447
2012-06-30,-64.32797230668938
2012-07-31,-59.97314353431956
2012-08-31,-34.27443565401593
2012-09-30,-11.745624606606391
2012-10-31,5.638620324986235
2012-11-30,1.6560641529553557
2012-12-31,52.380830912333565
2013-01-31,-54.01305221553215
2013-02-28,13.580184843542412
2013-03-31,-8.765887116809601
2013-04-30,-5.367209536345037
2013-05-31,-6.762040330815514
2013-06-30,-8.647695054380973
2013-07-31,-1.1702272413019197
2013-08-31,-0.009812335610149407
2013-09-30,0.0
2013-10-31,12.39348616417406
2013-11-30,-11.168817742501636
2013-12-31,15.370689517696075
2014-01-31,9.442232549441925
2014-02-28,54.84774089726321
2014-03-31,32.914274682919526
2014-04-30,-3.5348997046419157
2014-05-31,-24.03511221930276
2014-06-30,-37.95794091521937
2014-07-31,-31.539902283624706
2014-08-31,-11.15830906458508
2014-09-30,-4.052746839515645
2014-10-31,8.147137777914667
2014-11-30,-9.352384029179557
2014-12-31,41.65217927681083
2015-01-31,40.56233687810722
2015-02-28,5.675876693750553
2015-03-31,-10.604361311945553
2015-04-30,-2.576979698828552
2015-05-31,-7.090441169951717
2015-06-30,-36.208582848910325
2015-07-31,-20.41418068715539
2015-08-31,-8.968135160511828
2015-09-30,-2.0755547976924547
2015-10-31,0.09967524321629367
2015-11-30,52.04384446725181
2015-12-31,66.36762543887176
2016-01-31,59.51405146535673
2016-02-29,-28.307733430603975
2016-03-31,44.92701803297933
2016-04-30,-8.25717679310327
2016-05-31,-25.48085690610978
2016-06-30,-62.21374180114651
2016-07-31,-46.61507927595109
2016-08-31,-25.94923558210306
2016-09-30,-9.80061174173155
2016-10-31,7.952311994310758
2016-11-30,29.491944925576952
2016-12-31,85.31655963635993
2017-01-31,498.50374069500947
2017-02-28,77.29238741164602
2017-03-31,7.726525948915992
2017-04-30,15.453438113190032
2017-05-31,-43.70612340292132
2017-06-30,-70.9727804765256
