,SWE
2003-10-31,0.0
2003-11-30,0.06379888634518081
2003-12-31,0.2816903423491883
2004-01-31,0.06495046975267499
2004-02-29,0.21545180461245844
2004-03-31,-0.002812080809803441
2004-04-30,-0.20747773034930556
2004-05-31,-0.2916783414066564
2004-06-30,-0.12205508812938211
2004-07-31,-0.00186826236435512
2004-08-31,0.0
2004-09-30,0.0
2004-10-31,0.2022684961329253
2004-11-30,-0.007050751012143974
2004-12-31,0.176924471677816
2005-01-31,0.42268198260490913
2005-02-28,0.16421343531393073
2005-03-31,0.15673617407067586
2005-04-30,-0.09835377698047365
2005-05-31,-0.6319984223999626
2005-06-30,-0.28659255883108026
2005-07-31,-0.09882905057659651
2005-08-31,2.541098841762901e-21
2005-09-30,4.743384504624082e-20
2005-10-31,0.007940172753394667
2005-11-30,0.0032829624485443947
2005-12-31,0.3025564475665964
2006-01-31,0.1870455060239945
2006-02-28,-7.13571735773133e-05
2006-03-31,0.30215730428559584
2006-04-30,0.05133167320333176
2006-05-31,-0.6408697175471305
2006-06-30,-0.19660306947533732
2006-07-31,-0.016769922085412385
2006-08-31,0.0
2006-09-30,0.0
2006-10-31,-1.0333801956502464e-19
2006-11-30,0.010801572038863559
2006-12-31,0.1294960345099994
2007-01-31,0.013603163430556342
2007-02-28,0.22768332570297206
2007-03-31,-0.18144407638465354
2007-04-30,-0.16594910052905712
2007-05-31,-0.031341576083886345
2007-06-30,-0.002849342684794373
2007-07-31,0.0
2007-08-31,0.0
2007-09-30,2.5781565332052767e-20
2007-10-31,7.134938470213982e-05
2007-11-30,-7.134938470214e-05
2007-12-31,0.1467373953962475
2008-01-31,0.3829119131519718
2008-02-29,0.20932772110236264
2008-03-31,-0.15493537091948306
2008-04-30,-0.3625848215797326
2008-05-31,-0.1963371888626844
2008-06-30,-0.02451484807246977
2008-07-31,-0.0006048002162121849
2008-08-31,0.0
2008-09-30,0.0
2008-10-31,1.0503208545953324e-19
2008-11-30,0.02309597040165243
2008-12-31,0.19974247729672784
2009-01-31,-0.01401714386113434
2009-02-28,0.2651959449177105
2009-03-31,0.13431360859004193
2009-04-30,-0.21559685208879859
2009-05-31,-0.3595118074854223
2009-06-30,-0.03047652689214893
2009-07-31,-0.0027456708786285965
2009-08-31,0.0
2009-09-30,0.0
2009-10-31,0.01942145758892673
2009-11-30,-0.002289422841740555
2009-12-31,0.26421955304525907
2010-01-31,0.32207548501102373
2010-02-28,0.2397222782613707
2010-03-31,0.05280463685582604
2010-04-30,0.07338257899393585
2010-05-31,-0.22742121747343147
2010-06-30,-0.7034602696067577
2010-07-31,-0.038455079834412396
2010-08-31,0.0
2010-09-30,0.0
2010-10-31,0.019825434051897052
2010-11-30,0.13932756640375898
2010-12-31,0.5581156376172254
2011-01-31,0.028707096841893542
2011-02-28,0.24515247566183174
2011-03-31,0.4076728427149582
2011-04-30,-0.112489161553321
2011-05-31,-0.3093419033766942
2011-06-30,-0.7315982649028905
2011-07-31,-0.21554311026198114
2011-08-31,-0.02982861319667802
2011-09-30,0.0
2011-10-31,1.0842021724855044e-19
2011-11-30,0.059329088395057406
2011-12-31,7.004241292874608e-05
2012-01-31,0.15386398703647236
2012-02-29,0.018551993004331885
2012-03-31,0.09402790988909823
2012-04-30,-0.1430097203261198
2012-05-31,-0.16704971042929564
2012-06-30,-0.015783589982473183
2012-07-31,0.0
2012-08-31,0.0
2012-09-30,0.0
2012-10-31,0.0032128574428139807
2012-11-30,0.06952974977642418
2012-12-31,0.39461574000081046
2013-01-31,-0.010964880512856157
2013-02-28,0.020375399069831046
2013-03-31,-0.019480578931763082
