,ET
2000-10-31,26.719474228326682
2000-11-30,12.786563284596067
2000-12-31,15.934547334219465
2001-01-31,16.831564023039434
2001-02-28,24.80785112981834
2001-03-31,51.885629892187254
2001-04-30,36.62614089499335
2001-05-31,54.44228917442031
2001-06-30,46.584017131885965
2001-07-31,55.39405700782749
2001-08-31,43.14787180623245
2001-09-30,33.07009304386352
2001-10-31,17.986433318564462
2001-11-30,22.43068675232609
2001-12-31,14.026291537439072
2002-01-31,15.768976517501102
2002-02-28,18.186678481760445
2002-03-31,36.61454142667257
2002-04-30,24.472485600354442
2002-05-31,43.56977699010484
2002-06-30,49.05602717471568
2002-07-31,44.594810220056104
2002-08-31,38.66236892630336
2002-09-30,28.59612169546595
2002-10-31,14.231756018313389
2002-11-30,28.958446315167606
2002-12-31,15.253522374833846
2003-01-31,15.638236597252988
2003-02-28,30.780457834884054
2003-03-31,54.81232905036183
2003-04-30,48.80357701964259
2003-05-31,70.80875498449265
2003-06-30,50.32609068084474
2003-07-31,50.56649239403336
2003-08-31,58.83201890415005
2003-09-30,36.90766208831783
2003-10-31,16.85128932210899
2003-11-30,12.420242209422536
2003-12-31,14.993265396544079
2004-01-31,14.459143405700782
2004-02-29,28.308692955250333
2004-03-31,57.475684536996006
2004-04-30,36.87246787771377
2004-05-31,28.410450450450433
2004-06-30,44.56645104120513
2004-07-31,45.95981686604637
2004-08-31,38.71994683207796
2004-09-30,30.24082705656476
2004-10-31,27.755817456801058
2004-11-30,17.48402303943287
2004-12-31,16.42622064687638
2005-01-31,12.599760744350906
2005-02-28,32.10500073844335
2005-03-31,55.900832964111636
2005-04-30,43.930958499483076
2005-05-31,66.62232461970166
2005-06-30,46.62936050804902
2005-07-31,53.44953478068231
2005-08-31,52.36500073844334
2005-09-30,36.37987889528871
2005-10-31,24.16482646581007
2005-11-30,26.827549844926885
2005-12-31,17.532993649387095
2006-01-31,19.451309998523108
2006-02-28,27.11916703588834
2006-03-31,44.91688081524146
2006-04-30,56.01595037660609
2006-05-31,50.468495052429475
2006-06-30,73.19340422389601
2006-07-31,75.1999881849062
2006-08-31,45.54404962339387
2006-09-30,31.042758824398163
2006-10-31,20.457173238812583
2006-11-30,16.066176340274694
2006-12-31,15.983706985674196
2007-01-31,18.038700339683942
2007-02-28,33.173608034263765
2007-03-31,37.786672574213554
2007-04-30,29.773605080490313
2007-05-31,36.43984935755425
2007-06-30,41.36861024959384
2007-07-31,44.31982277359323
2007-08-31,39.895223748338495
