,SWE
1999-10-31,0.0
1999-11-30,1.3333334
1999-12-31,1.2222222
2000-01-31,113.3333294
2000-02-29,161.00001499999996
2000-03-31,-57.55556999999999
2000-04-30,-27.888890000000004
2000-05-31,-191.44444
2000-06-30,0.0
2000-07-31,0.0
2000-08-31,0.0
2000-09-30,0.0
2000-10-31,34.11111
2000-11-30,-3.8888889999999954
2000-12-31,7.666669000000002
2001-01-31,80.66667
2001-02-28,129.55554999999998
2001-03-31,14.555549999999982
2001-04-30,-17.777769999999975
2001-05-31,-244.88889
2001-06-30,0.0
2001-07-31,0.0
2001-08-31,0.0
2001-09-30,0.0
2001-10-31,8.444445
2001-11-30,69.888891
2001-12-31,149.11110399999998
2002-01-31,44.888900000000035
2002-02-28,-14.777800000000013
2002-03-31,0.555560000000014
2002-04-30,-51.999990000000025
2002-05-31,-159.22222
2002-06-30,-46.88889
2002-07-31,0.0
2002-08-31,0.0
2002-09-30,0.5555556
2002-10-31,-0.5555555999999999
2002-11-30,88.0
2002-12-31,183.66665999999998
2003-01-31,-58.22221999999999
2003-02-28,32.222230000000025
2003-03-31,-20.111109999999996
2003-04-30,66.99998
2003-05-31,-244.66665
2003-06-30,-47.88889
2003-07-31,0.0
2003-08-31,0.0
2003-09-30,0.0
2003-10-31,0.11111111
2003-11-30,23.555554889999996
2003-12-31,73.66667000000001
2004-01-31,29.111103999999997
2004-02-29,146.88890000000004
2004-03-31,-92.44445000000002
2004-04-30,-40.0
2004-05-31,-131.66666800000002
2004-06-30,-9.222222
2004-07-31,0.0
2004-08-31,0.0
2004-09-30,0.0
2004-10-31,141.0
2004-11-30,30.444439999999986
2004-12-31,190.11110000000002
2005-01-31,147.88891999999998
2005-02-28,115.22224
2005-03-31,-11.888900000000035
2005-04-30,-59.77779999999996
2005-05-31,-120.44445999999999
2005-06-30,-304.1111
2005-07-31,-128.44444
2005-08-31,0.0
2005-09-30,0.0
2005-10-31,0.8888889
2005-11-30,8.5555561
2005-12-31,143.555555
2006-01-31,202.11110000000002
2006-02-28,-13.444440000000043
2006-03-31,239.55554000000006
2006-04-30,-85.33330000000007
2006-05-31,-192.0
2006-06-30,-303.8889
2006-07-31,0.0
2006-08-31,0.0
2006-09-30,0.0
2006-10-31,0.0
2006-11-30,0.22222221999999994
2006-12-31,63.33333478
2007-01-31,-3.333337
2007-02-28,144.55555
2007-03-31,-87.99999
2007-04-30,-66.22222300000001
2007-05-31,-50.555557
2007-06-30,0.0
2007-07-31,0.0
2007-08-31,0.0
2007-09-30,1.3877787807814457e-17
2007-10-31,2.7755575615628914e-17
2007-11-30,0.0
2007-12-31,95.0
2008-01-31,259.0
2008-02-29,161.22220000000004
2008-03-31,-157.33330000000007
2008-04-30,-20.33335999999997
2008-05-31,-151.55554
2008-06-30,-186.0
2008-07-31,0.0
2008-08-31,0.0
2008-09-30,0.0
2008-10-31,0.0
2008-11-30,17.222221
2008-12-31,95.111115
2009-01-31,65.444434
2009-02-28,86.99999999999997
2009-03-31,24.111130000000003
2009-04-30,21.77776
2009-05-31,-290.55555
2009-06-30,-20.11111
2009-07-31,0.0
2009-08-31,0.0
2009-09-30,0.0
2009-10-31,2.220446049250313e-16
2009-11-30,11.444445
2009-12-31,126.11111500000001
2010-01-31,153.55554
2010-02-28,136.44444
2010-03-31,2.8889199999999846
2010-04-30,33.66664000000003
2010-05-31,-79.88887
2010-06-30,-360.555564
2010-07-31,-23.666666
2010-08-31,0.0
2010-09-30,0.0
2010-10-31,4.3333335
2010-11-30,61.3333305
2010-12-31,363.66667600000005
2011-01-31,60.66665999999998
2011-02-28,134.77779999999996
2011-03-31,154.88890000000004
2011-04-30,-297.11116
2011-05-31,-17.0
2011-06-30,-397.666655
2011-07-31,-67.888885
2011-08-31,0.0
2011-09-30,0.0
2011-10-31,0.0
2011-11-30,4.111111
2011-12-31,-3.4444443000000002
2012-01-31,76.4444483
2012-02-29,-16.000005
2012-03-31,69.55556000000001
2012-04-30,-49.55555500000001
2012-05-31,-81.111115
2012-06-30,0.0
2012-07-31,0.0
2012-08-31,0.0
2012-09-30,0.0
2012-10-31,0.0
2012-11-30,40.444443
2012-12-31,216.22221699999997
2013-01-31,19.444440000000043
2013-02-28,-87.88887000000003
2013-03-31,-21.333339999999993
2013-04-30,-87.44445
2013-05-31,-79.44444
2013-06-30,0.0
2013-07-31,0.0
2013-08-31,0.0
2013-09-30,0.0
2013-10-31,3.5555556
2013-11-30,0.3333332000000002
2013-12-31,5.000000200000001
2014-01-31,28.444443
2014-02-28,44.666668
2014-03-31,29.0
2014-04-30,-81.777779
2014-05-31,-29.222221
2014-06-30,0.0
2014-07-31,0.0
2014-08-31,0.0
2014-09-30,1.5555556
2014-10-31,-1.5555556
2014-11-30,-2.220446049250313e-16
2014-12-31,49.666668
2015-01-31,-18.000002000000002
2015-02-28,-1.6666659999999993
2015-03-31,-29.0
2015-04-30,-1.0
2015-05-31,0.0
2015-06-30,0.0
2015-07-31,0.0
2015-08-31,0.0
2015-09-30,0.0
2015-10-31,0.0
2015-11-30,45.444443
2015-12-31,106.11111700000001
2016-01-31,155.22220999999996
2016-02-29,7.555570000000046
2016-03-31,-30.111109999999996
2016-04-30,-46.555560000000014
2016-05-31,-161.777785
2016-06-30,-75.888885
2016-07-31,0.0
2016-08-31,0.0
2016-09-30,0.0
2016-10-31,2.4444444
2016-11-30,32.6666656
2016-12-31,127.33332999999999
2017-01-31,516.33336
2017-02-28,252.3333
2017-03-31,-5.666639999999916
2017-04-30,-63.66666000000009
2017-05-31,-324.11109999999996
2017-06-30,-537.33336666
2017-07-31,-0.33333334
2017-08-31,0.0
2017-09-30,1.3877787807814457e-17
2017-10-31,2.7755575615628914e-17
2017-11-30,34.77778
2017-12-31,-21.333334999999998
2018-01-31,37.333335
2018-02-28,-10.666670000000003
2018-03-31,203.88889
2018-04-30,-92.22223
2018-05-31,-144.888881
2018-06-30,-6.888889
2018-07-31,0.0
2018-08-31,0.0
2018-09-30,0.0
2018-10-31,0.0
2018-11-30,80.77778
2018-12-31,35.22221999999999
2019-01-31,178.55554
2019-02-28,321.55555999999996
2019-03-31,139.44444
2019-04-30,-330.88888
2019-05-31,-110.88889
2019-06-30,-309.77777
2019-07-31,-4.0
2019-08-31,0.0
2019-09-30,0.22222222
2019-10-31,-0.22222222
2019-11-30,53.666668
2019-12-31,101.555562
2020-01-31,10.111099999999993
2020-02-29,-37.0
2020-03-31,61.555560000000014
2020-04-30,-65.222226
2020-05-31,-124.666664
2020-06-30,0.0
2020-07-31,0.0
2020-08-31,0.0
2020-09-30,0.0
2020-10-31,0.0
2020-11-30,6.0
2020-12-31,47.666668
2021-01-31,143.00000200000002
2021-02-28,43.777769999999975
2021-03-31,34.666660000000036
2021-04-30,-130.55554
2021-05-31,-144.55556
2021-06-30,0.0
2021-07-31,0.0
2021-08-31,0.0
2021-09-30,0.0
2021-10-31,50.77778
2021-11-30,-41.000002
2021-12-31,306.444452
2022-01-31,-10.555570000000046
2022-02-28,1.4444400000000428
2022-03-31,-76.88887000000003
2022-04-30,-37.11112
2022-05-31,-175.11111
2022-06-30,-18.0
2022-07-31,0.0
2022-08-31,0.0
2022-09-30,0.0
2022-10-31,0.0
2022-11-30,86.333336
2022-12-31,269.444434
2023-01-31,437.6666900000001
2023-02-28,183.0
2023-03-31,386.22213999999997
2023-04-30,-45.66660000000002
2023-05-31,-741.1111
2023-06-30,-234.11113000000006
2023-07-31,-341.77777
2023-08-31,0.0
2023-09-30,0.0
2023-10-31,
