,ET,P,SWE,wy,sumP,P_adj,D
2000-10-31,41.61877607595813,125.59317025984348,0.0,2001,125.59317025984348,125.59317025984348,0.0
2000-11-30,16.204596299119835,22.951606152798192,-0.5451427383592033,2001,148.54477641264168,23.496748891157395,0.0
2000-12-31,22.11777947189687,10.839157100808453,-6.6862874168514335,2001,159.38393351345013,17.525444517659885,4.592334954236986
2001-01-31,21.800166331693127,143.8347811479872,83.24605044345894,2001,303.21871466143733,60.58873070452826,0.0
2001-02-28,29.230308406680987,170.11487437097375,95.92665604212858,2001,473.33358903241106,74.18821832884517,0.0
2001-03-31,49.62413750086631,40.478087310953576,-62.79635532150776,2001,513.8116763433646,103.27444263246133,0.0
2001-04-30,48.09080047127311,158.88459649486092,-28.246881929046552,2001,672.6962728382256,187.13147842390748,0.0
2001-05-31,94.93870122669622,0.21776972834353994,-97.19640382483365,2001,672.9140425665692,97.41417355317719,0.0
2001-06-30,89.01866241596785,0.0,-1.0930570953436802,2001,672.9140425665692,1.0930570953436802,87.92560532062417
2001-07-31,90.85989049830204,16.42574987326096,0.0,2001,689.33979243983,16.42574987326096,162.35974594566525
2001-08-31,76.05638089957725,0.7281746289241112,0.0,2001,690.0679670687542,0.7281746289241112,237.6879522163184
2001-09-30,57.21885924180468,0.8621088424212476,0.0,2001,690.9300759111754,0.8621088424212476,294.0447026157018
2001-10-31,30.230668792016083,28.2734426755647,3.5807926829268286,2002,28.2734426755647,24.692649992637868,299.58272141508
2001-11-30,28.930204449372795,178.60914527516695,50.430709534368056,2002,206.88258795073165,128.1784357407989,200.3344901236539
2001-12-31,16.82162589230023,242.1365383993703,76.58418791574275,2002,449.01912635010194,165.55235048362755,51.60376553232658
2002-01-31,16.560091482431215,94.38086627451949,32.60715770509978,2002,543.3999926246214,61.77370856941971,6.390148445338085
2002-02-28,27.77303763254557,29.60898894192581,-36.53322477827048,2002,573.0089815665473,66.14221372019628,0.0
2002-03-31,51.40052394483331,136.911978202592,22.085643015521057,2002,709.9209597691392,114.82633518707094,0.0
2002-04-30,40.87760205142422,32.62649357823533,-92.01666435698448,2002,742.5474533473746,124.64315793521982,0.0
2002-05-31,76.28617645020444,31.358667230784498,-42.00973531042127,2002,773.9061205781591,73.36840254120577,2.9177739089986687
2002-06-30,89.88255596368425,0.7698344050665091,-14.728866407982254,2002,774.6759549832256,15.498700813048764,77.30162905963417
2002-07-31,83.13319287545912,0.41094540103846755,0.0,2002,775.086900384264,0.41094540103846755,160.0238765340548
2002-08-31,70.3626613070899,0.0,0.0,2002,775.086900384264,0.0,230.3865378411447
2002-09-30,51.87593319010326,0.08835512318994167,0.0,2002,775.175255507454,0.08835512318994167,282.174115908058
2002-10-31,25.34243537320674,5.5912801554687395,0.0,2003,5.5912801554687395,5.5912801554687395,301.92527112579603
2002-11-30,31.2249303486035,263.6985029057903,36.35643015521064,2003,269.289783061259,227.34207275057966,105.80812872381986
2002-12-31,16.25588190449789,161.7383383985684,90.2459811529933,2003,431.0281214598274,71.4923572455751,50.571653382742646
2003-01-31,20.688557765610923,18.57131127091065,-48.609028547671855,2003,449.59943273073804,67.1803398185825,4.079871329771073
2003-02-28,26.864772333495047,112.27967388909249,25.16522311529937,2003,561.8791066198305,87.11445077379312,0.0
2003-03-31,50.57489223092384,114.90873955064745,6.440202328159643,2003,676.787846170478,108.46853722248781,0.0
2003-04-30,47.3346732275279,159.99771243126924,31.213241407982252,2003,836.7855586017472,128.78447102328698,0.0
2003-05-31,88.21062859519023,80.21434103815699,-101.05078991130819,2003,916.9998996399042,181.26513094946517,0.0
2003-06-30,88.19159470510775,0.045194415317902914,-39.74864883592016,2003,917.0450940552222,39.79384325123806,48.39775145386969
2003-07-31,84.69993208122531,17.783115739025927,-0.012610864745011082,2003,934.8282097942481,17.795726603770937,115.30195693132407
2003-08-31,90.41067017811352,18.040103075951635,0.0,2003,952.8683128701997,18.040103075951635,187.67252403348596
2003-09-30,62.669310416522265,9.219292535836912,0.0,2003,962.0876054060366,9.219292535836912,241.1225419141713
2003-10-31,31.39066047543143,0.5359694436101489,0.04285615299334811,2004,0.5359694436101489,0.49311329061680076,272.0200890989859
2003-11-30,18.537334534617784,63.82351315483222,8.59097838137472,2004,64.35948259844237,55.2325347734575,235.3248888601462
2003-12-31,15.785160440778988,236.35483110748063,102.51690687361418,2004,300.714313705923,133.83792423386646,117.27212506705871
2004-01-31,16.759911289763664,83.28518461442691,34.8990784368071,2004,383.9994983203499,48.38610617761981,85.64593017920257
2004-02-29,24.497819668722705,170.6930237466594,92.38057788248335,2004,554.6925220670093,78.31244586417606,31.831303983749216
2004-03-31,60.07580566913853,42.45884545865479,-160.82632344789351,2004,597.1513675256641,203.2851689065483,0.0
2004-04-30,63.24546676831382,12.572125749801769,-52.14128325942352,2004,609.7234932754659,64.71340900922529,0.0
2004-05-31,49.66037563240696,2.100013190974338,-21.670108093126377,2004,611.8235064664402,23.770121284100714,25.890254348306247
2004-06-30,81.36327118996465,0.00988200642600129,-3.792682926829267,2004,611.8333884728662,3.8025649332552685,103.45096060501562
2004-07-31,82.40167995010049,2.524165236645792,0.0,2004,614.357553709512,2.524165236645792,183.32847531847034
2004-08-31,66.5133245547162,0.018369188724395552,0.0,2004,614.3759228982364,0.018369188724395552,249.82343068446215
2004-09-30,51.62274863122878,1.1328229385796849,0.0,2004,615.508745836816,1.1328229385796849,300.31335637711123
2004-10-31,33.41634208884884,138.5544784997594,42.149424889135254,2005,138.5544784997594,96.40505361062415,237.32464485533592
2004-11-30,17.64962783283665,46.58204643187666,-2.069810144124176,2005,185.13652493163607,48.65185657600084,206.32241611217174
2004-12-31,17.794034236606834,96.65420680871043,30.7802106430155,2005,281.7907317403465,65.87399616569493,158.24245418308362
2005-01-31,19.381697969367245,304.28634300699747,143.4673988359201,2005,586.0770747473439,160.81894417107736,16.805207981373513
2005-02-28,33.60615150045048,74.8583985268347,19.50585504434588,2005,660.9354732741787,55.35254348248883,0.0
2005-03-31,54.253156836925655,218.53315300717802,44.52511779379154,2005,879.4686262813566,174.00803521338648,0.0
2005-04-30,47.66088294407097,73.44193319956193,-64.32822893569838,2005,952.9105594809186,137.7701621352603,0.0
2005-05-31,94.07416452976645,105.09639985369915,-147.70877217294895,2005,1058.0069593346177,252.8051720266481,0.0
2005-06-30,83.39815649040125,0.041695177679984895,-61.32369041019954,2005,1058.0486545122976,61.36538558787952,22.032770902521726
2005-07-31,89.73563240695819,0.04127683159831683,-4.997505543237248,2005,1058.089931343896,5.038782374835566,106.72962093464434
2005-08-31,80.86784669762284,5.093446174160748,0.0,2005,1063.183377518057,5.093446174160748,182.50402145810642
2005-09-30,58.45085591517082,10.346344638465888,0.0,2005,1073.5297221565227,10.346344638465888,230.60853273481135
2005-10-31,34.19698662415968,12.599943443039455,0.34056263858093105,2006,12.599943443039455,12.259380804458525,252.5461385545125
2005-11-30,33.02041998752512,17.757636841176193,0.9720066518847006,2006,30.35758028421565,16.785630189291492,268.7809283527461
2005-12-31,19.08709959110125,153.84584919727249,32.598669623059855,2006,184.20342948148814,121.24717957421262,166.62084836963476
2006-01-31,19.527052463788202,269.4171875841543,113.4466463414634,2006,453.6206170656425,155.9705412426909,30.177359590732067
2006-02-28,27.98850648000554,78.39433535585978,-11.956312361419123,2006,532.0149524215022,90.3506477172789,0.0
2006-03-31,40.105859033890084,244.56837582209914,135.57143847006648,2006,776.5833282436013,108.99693735203266,0.0
2006-04-30,53.537656109224486,220.83554178297516,-13.796840354767141,2006,997.4188700265765,234.6323821377423,0.0
2006-05-31,83.5818033127729,28.702349238209685,-189.95333287139687,2006,1026.121219264786,218.65568210960654,0.0
2006-06-30,102.64781481738162,1.6026025158567219,-67.22283813747225,2006,1027.723821780643,68.82544065332897,33.82237416405265
2006-07-31,99.76979139233488,16.80072213965222,0.0,2006,1044.5245439202952,16.80072213965222,116.7914434167353
2006-08-31,74.3294725899231,0.6366413794723765,0.0,2006,1045.1611852997676,0.6366413794723765,190.48427462718604
2006-09-30,52.1037466213875,0.00032030762873227613,0.0,2006,1045.1615056073963,0.00032030762873227613,242.5877009409448
2006-10-31,31.25006306743363,13.088236607972018,0.0,2007,13.088236607972018,13.088236607972018,260.7495274004064
2006-11-30,25.167310277912534,15.248060606426751,3.276365022172948,2007,28.33629721439877,11.971695584253803,273.94514209406515
2006-12-31,20.25317069790006,110.28838928059844,39.62707871396895,2007,138.6246864949972,70.66131056662948,223.53700222533573
2007-01-31,22.900295238755284,32.756831055411695,-2.6632136917960096,2007,171.3815175504089,35.420044747207704,211.01725271688332
2007-02-28,32.28594358583409,157.08606677893536,67.21629018847005,2007,328.4675843293443,89.8697765904653,153.4334197122521
2007-03-31,52.17835747453045,50.26304146885535,-76.35199556541019,2007,378.73062579819964,126.61503703426554,78.99674015251699
2007-04-30,41.385052325178464,57.206615238603355,-23.448586474501106,2007,435.93724103680296,80.65520171310446,39.726590764590995
2007-05-31,69.61990990366623,4.870500019919322,-7.655938192904653,2007,440.8077410567223,12.526438212823976,96.82006245543324
2007-06-30,80.02067225725969,0.0,0.0,2007,440.8077410567223,0.0,176.84073471269295
2007-07-31,78.65490609189827,0.0,0.0,2007,440.8077410567223,0.0,255.49564080459123
2007-08-31,70.07276457134938,8.578865625341079,0.0,2007,449.38660668206336,8.578865625341079,316.98953975059953
2007-09-30,52.57817728186291,18.119631608426342,0.0,2007,467.5062382904897,18.119631608426342,351.4480854240361
2007-10-31,30.163171390948783,21.88223012010892,0.029101995565410193,2008,21.88223012010892,21.853128124543513,359.75812869044137
2007-11-30,27.89079492688336,11.290108819616767,-0.029101995565410193,2008,33.17233893972569,11.319210815182178,376.3297128021425
2007-12-31,19.324438284011364,139.99240873156143,67.33280210643012,2008,173.1647476712871,72.6596066251313,322.9945444610226
2008-01-31,21.991883013375848,224.90092310155174,109.87305986696232,2008,398.06567077283887,115.02786323458942,229.95856423980902
2008-02-29,35.74923556726037,215.1040623488499,104.17814578713958,2008,613.1697331216888,110.92591656171032,154.78188324535907
2008-03-31,51.5945692702197,23.322138649836024,-45.356464800443405,2008,636.4918717715248,68.67860345027943,137.69784906529935
2008-04-30,59.13796382285673,0.06836354306550549,-138.96663664079819,2008,636.5602353145903,139.0350001838637,57.80081270429238
2008-05-31,51.485935269249424,24.67024477730915,-83.35757344789354,2008,661.2304800918995,108.0278182252027,1.2589297483391135
2008-06-30,91.79382909418531,0.017858103215190466,-13.703332871396888,2008,661.2483381951147,13.721190974612078,79.33156786791236
2008-07-31,82.57950239101811,11.71538427986907,0.0,2008,672.9637224749837,11.71538427986907,150.1956859790614
2008-08-31,73.17503638505787,0.2891200063431061,0.0,2008,673.2528424813269,0.2891200063431061,223.08160235777615
2008-09-30,53.67401205904776,1.6508902505424614,0.0,2008,674.9037327318692,1.6508902505424614,275.10472416628147
2008-10-31,39.819632684177684,10.90600742389265,0.0,2009,10.90600742389265,10.90600742389265,304.0183494265665
2008-11-30,25.198156490401267,94.26714027212904,3.485275776053214,2009,105.17314769602169,90.78186449607583,238.43464142089192
2008-12-31,20.713962159539815,111.9638521889181,68.49327882483368,2009,217.13699988493977,43.470573364084416,215.6780302163473
2009-01-31,25.870519093492266,106.73246435391253,-12.037451496674052,2009,323.8694642388523,118.76991585058659,122.77863345925299
2009-02-28,33.55157807193845,179.89474877205708,85.63535892461194,2009,503.76421301090943,94.25938984744515,62.07082168374629
2009-03-31,49.87441125511124,65.69432750785957,-21.074556541019945,2009,569.4585405187689,86.76888404887951,25.176348889978016
2009-04-30,43.45785847945112,46.087050036780106,-70.24643154101992,2009,615.5455905555491,116.33348157780003,0.0
2009-05-31,77.41874003742461,38.0002020078514,-53.74882206208425,2009,653.5457925634005,91.74902406993564,0.0
2009-06-30,83.3408219557835,28.41397158007508,-0.506651884700665,2009,681.9597641434756,28.920623464775748,54.42019849100775
2009-07-31,80.79730542657148,0.7584966417802552,0.0,2009,682.7182607852558,0.7584966417802552,134.45900727579897
