,ET
2000-10-31,43.18110935023771
2000-11-30,10.33458003169572
2000-12-31,10.508526148969889
2001-01-31,10.99499207606973
2001-02-28,19.524564183835185
2001-03-31,45.38015847860539
2001-04-30,47.69419968304279
2001-05-31,94.92919175911251
2001-06-30,99.43074484944532
2001-07-31,110.33090332805071
2001-08-31,100.19118858954042
2001-09-30,80.25622820919176
2001-10-31,42.55835182250396
2001-11-30,22.303645007923933
2001-12-31,6.485705229793978
2002-01-31,7.963232963549921
2002-02-28,23.972741679873216
2002-03-31,44.146307448494454
2002-04-30,29.378637083993667
2002-05-31,53.97299524564184
2002-06-30,93.4818383518225
2002-07-31,106.41698890649761
2002-08-31,93.6968621236133
2002-09-30,68.80912836767037
2002-10-31,31.252488114104597
2002-11-30,29.001584786053883
2002-12-31,9.8113470681458
2003-01-31,12.645324881141047
2003-02-28,20.30846275752773
2003-03-31,42.876450079239305
2003-04-30,37.19683042789224
2003-05-31,77.08843106180666
2003-06-30,84.57064976228209
2003-07-31,105.67657686212361
2003-08-31,102.57673534072899
2003-09-30,77.83074484944532
2003-10-31,36.00456418383518
2003-11-30,14.819144215530905
2003-12-31,5.945990491283677
2004-01-31,8.064659270998416
2004-02-29,16.778066561014263
2004-03-31,40.31277337559429
2004-04-30,40.976354992076075
2004-05-31,39.73198098256736
2004-06-30,88.96316957210777
2004-07-31,102.3679239302694
2004-08-31,83.11188589540411
2004-09-30,65.69736925515056
2004-10-31,32.93464342313788
2004-11-30,13.365578446909668
2004-12-31,10.99055467511886
2005-01-31,9.630301109350238
2005-02-28,21.857115689381935
2005-03-31,41.99442155309033
2005-04-30,43.94434231378764
2005-05-31,90.48811410459588
2005-06-30,77.69331220285261
2005-07-31,104.53705229793977
2005-08-31,91.78358161648177
2005-09-30,62.950364500792396
2005-10-31,35.110744849445325
2005-11-30,26.67651347068146
2005-12-31,9.98554675118859
2006-01-31,9.821109350237718
2006-02-28,23.641331220285263
2006-03-31,32.48456418383518
2006-04-30,44.769191759112516
2006-05-31,59.48145800316957
2006-06-30,83.88259904912836
2006-07-31,108.03600633914422
2006-08-31,88.42370839936608
2006-09-30,60.93337559429477
2006-10-31,34.87860538827258
2006-11-30,21.097812995245643
2006-12-31,10.858700475435816
2007-01-31,15.249825673534072
2007-02-28,20.942503961965134
2007-03-31,41.67923930269414
2007-04-30,38.98675118858954
2007-05-31,70.06491283676704
2007-06-30,87.85635499207606
2007-07-31,100.42827258320126
2007-08-31,80.90282091917591
2007-09-30,58.708969889064974
2007-10-31,37.30041204437401
2007-11-30,32.858827258320126
2007-12-31,9.559936608557845
2008-01-31,11.85838351822504
2008-02-29,23.16500792393027
2008-03-31,41.50973058637084
2008-04-30,31.41933438985737
2008-05-31,34.66294770206022
2008-06-30,97.70053882725833
2008-07-31,104.27004754358161
2008-08-31,88.21248811410459
2008-09-30,62.00152139461173
2008-10-31,41.875118858954046
2008-11-30,20.57394611727417
2008-12-31,14.729001584786054
2009-01-31,12.478858954041204
2009-02-28,23.176038034865297
2009-03-31,40.035499207606975
2009-04-30,36.55619651347068
2009-05-31,74.6137559429477
2009-06-30,99.5916323296355
2009-07-31,102.5001584786054
2009-08-31,86.30922345483359
2009-09-30,65.7085261489699
2009-10-31,37.42935023771791
2009-11-30,26.8251030110935
2009-12-31,7.427068145800316
2010-01-31,8.02066561014263
2010-02-28,19.263645007923934
2010-03-31,39.068272583201264
2010-04-30,41.42123613312203
2010-05-31,61.13698890649762
2010-06-30,81.7229793977813
2010-07-31,101.34846275752773
2010-08-31,92.16291600633915
2010-09-30,67.01223454833597
2010-10-31,36.29058637083994
2010-11-30,21.22903328050713
2010-12-31,7.865736925515056
2011-01-31,11.387511885895403
2011-02-28,18.462757527733757
2011-03-31,32.27347068145801
2011-04-30,32.450966719492875
2011-05-31,53.81819334389858
2011-06-30,83.02123613312202
2011-07-31,85.78954041204437
