,P
2000-10-31,51.58365209704267
2000-11-30,7.902678942356387
2000-12-31,3.5795928335274523
2001-01-31,101.95547193396644
2001-02-28,138.29006211281035
2001-03-31,20.78996920087349
2001-04-30,60.61952108203301
2001-05-31,5.178688190855981
2001-06-30,0.06110819043851186
2001-07-31,23.908747191003403
2001-08-31,0.0
2001-09-30,0.435699910913293
2001-10-31,13.308916761906671
2001-11-30,77.36988496283875
2001-12-31,103.59473191719003
2002-01-31,53.26863288294837
2002-02-28,9.523243436182806
2002-03-31,56.39253701826343
2002-04-30,13.275649470521918
2002-05-31,13.301252001369246
2002-06-30,0.1682052273928995
2002-07-31,1.931533223613641
2002-08-31,0.0
2002-09-30,1.3528436231445247
2002-10-31,0.009382172596723625
2002-11-30,171.43691865433513
2002-12-31,97.72850604811251
2003-01-31,12.827902848202372
2003-02-28,67.28164459973928
2003-03-31,44.818002038283396
2003-04-30,45.48039505127993
2003-05-31,31.362145337297125
2003-06-30,4.02652458742427
2003-07-31,18.26905431519248
2003-08-31,19.80651785572278
2003-09-30,11.197710464988642
2003-10-31,0.0018393767158668738
2003-11-30,36.33574404342164
2003-12-31,102.4797460235439
2004-01-31,71.00916472566627
2004-02-29,104.73373868871971
2004-03-31,41.99124928505346
2004-04-30,5.122882160872109
2004-05-31,1.0943274194515056
2004-06-30,3.3706255760515322
2004-07-31,0.36931064555838405
2004-08-31,8.525370199403039
2004-09-30,0.4452955836619324
2004-10-31,81.73644547490281
2004-11-30,14.94065955898168
2004-12-31,89.85898473993306
2005-01-31,237.88726368856152
2005-02-28,58.90455124073776
2005-03-31,108.40088901346526
2005-04-30,31.911481461349947
2005-05-31,25.100166997907728
2005-06-30,0.279378480230791
2005-07-31,9.76154246976268
2005-08-31,15.703255910798058
2005-09-30,30.944975357615224
2005-10-31,20.989746290879793
2005-11-30,6.498811949744074
2005-12-31,96.515171616004
2006-01-31,159.21794755683678
2006-02-28,32.940740041477135
2006-03-31,102.85070617385055
2006-04-30,82.36138163379884
2006-05-31,24.836639197018755
2006-06-30,5.396886131782122
2006-07-31,10.914919923145062
2006-08-31,0.0
2006-09-30,0.5236469602141329
2006-10-31,16.739532988512153
2006-11-30,5.312522072571436
2006-12-31,78.61782690894348
2007-01-31,19.32001183003234
2007-02-28,69.8788367952398
2007-03-31,21.11687780305173
2007-04-30,19.731039297333336
2007-05-31,0.5884953869922686
2007-06-30,1.6212715482733606
2007-07-31,1.0438317362183056
2007-08-31,17.6783794843252
2007-09-30,7.067012610467882
2007-10-31,48.3967490422128
2007-11-30,8.984791954646
2007-12-31,83.65150725881138
2008-01-31,144.44261860338628
2008-02-29,103.44459538931298
2008-03-31,4.25407621850336
2008-04-30,0.0
2008-05-31,8.766731320086171
2008-06-30,0.0
2008-07-31,22.605573026409054
2008-08-31,6.810184300345432
2008-09-30,8.313512080579713
2008-10-31,2.4183606328486014
2008-11-30,46.00856571797563
2008-12-31,63.30650331406903
2009-01-31,35.740995853551695
2009-02-28,78.2260094466497
2009-03-31,33.20542069878046
2009-04-30,13.021096312016365
2009-05-31,14.709585275436606
2009-06-30,13.658619268704145
2009-07-31,7.699588157248479
2009-08-31,0.9235984382532633
2009-09-30,0.12600487439415387
2009-10-31,59.23162300109457
2009-11-30,7.634527668917023
2009-12-31,106.81823925781472
2010-01-31,125.14635084003052
2010-02-28,104.83977038264669
2010-03-31,29.84832121063288
2010-04-30,59.17139139084561
2010-05-31,7.340865835567528
2010-06-30,0.2948325828578185
2010-07-31,1.310506238287627
2010-08-31,0.24152725144420298
2010-09-30,0.0
2010-10-31,27.225173298026036
2010-11-30,31.951040044579887
2010-12-31,381.9084995050883
2011-01-31,32.904389694111885
2011-02-28,58.82377613707966
2011-03-31,93.60962688876225
2011-04-30,14.254655025160464
2011-05-31,17.82075074928461
2011-06-30,2.0965512790189993
2011-07-31,15.409239118265255
2011-08-31,11.141652097308882
2011-09-30,10.399211657103619
2011-10-31,36.47563830151638
2011-11-30,30.4392866006886
2011-12-31,1.354555054298351
2012-01-31,83.92386762716069
2012-02-29,21.270301646297465
2012-03-31,41.050657969793775
2012-04-30,49.690348552430315
2012-05-31,0.020204991552297408
2012-06-30,0.009177202539727971
2012-07-31,0.07965201944460176
2012-08-31,9.410755907555606
2012-09-30,2.403436229103093
2012-10-31,4.4131924489093635
2012-11-30,13.07801984092631
2012-12-31,68.49360449917515
2013-01-31,28.277468316867196
2013-02-28,11.136005280782179
2013-03-31,9.721460230038318
2013-04-30,4.670828593521375
2013-05-31,6.472701337962372
2013-06-30,0.04520186855407756
2013-07-31,21.638046924371192
2013-08-31,8.309539577607682
2013-09-30,7.791068466884159
2013-10-31,17.132879021618326
2013-11-30,18.864186759255997
2013-12-31,6.813353106574285
2014-01-31,14.040804582353127
2014-02-28,38.19607758499144
2014-03-31,51.115767647126454
2014-04-30,32.22107435147843
2014-05-31,3.554013772085545
2014-06-30,0.0
2014-07-31,10.442309040832594
2014-08-31,11.09927142168216
2014-09-30,2.5534193028133316
2014-10-31,0.0
2014-11-30,18.951520397395313
2014-12-31,82.10500772956661
2015-01-31,22.9207389490281
2015-02-28,34.95121159844751
2015-03-31,4.913317358332701
2015-04-30,13.044242907570524
2015-05-31,8.747196348169847
2015-06-30,5.123649349845703
2015-07-31,25.38295014958712
2015-08-31,3.1226911605139054
2015-09-30,2.293693341118844
2015-10-31,46.84997817475371
2015-11-30,57.04133129725558
2015-12-31,78.27153733220169
2016-01-31,123.52574773261225
2016-02-29,48.516880502694455
2016-03-31,66.47028507223934
2016-04-30,22.710776718405306
2016-05-31,8.333191280940392
2016-06-30,2.589396806019066
2016-07-31,0.33985894653851184
2016-08-31,4.052256964272817
2016-09-30,0.24593250205220613
2016-10-31,18.993783227116097
2016-11-30,39.04478767440938
2016-12-31,129.48908583672963
2017-01-31,397.24208375127756
2017-02-28,147.52425006037933
2017-03-31,32.89473045190094
2017-04-30,34.85535501599197
2017-05-31,3.905160038006042
2017-06-30,2.4821561252042588
2017-07-31,1.8683085131866268
2017-08-31,7.535663635115333
2017-09-30,10.687553030482666
2017-10-31,0.35056945636844783
2017-11-30,31.623321971146066
2017-12-31,1.7038609034653962
2018-01-31,53.39104103723365
2018-02-28,6.733187146609752
2018-03-31,157.70889946425055
2018-04-30,25.412153705308583
2018-05-31,8.11092531465373
2018-06-30,0.0
2018-07-31,10.283445983344581
2018-08-31,0.3212694061668483
2018-09-30,0.7417087350741909
2018-10-31,13.331755372687992
2018-11-30,70.65849215452083
2018-12-31,36.61250562853074
2019-01-31,116.91712185058418
2019-02-28,157.99373621722637
2019-03-31,141.0003752024221
2019-04-30,5.642528964545101
2019-05-31,73.58331627377767
2019-06-30,6.4075009903310205
2019-07-31,1.121287240860137
2019-08-31,0.0
2019-09-30,6.844389606178903
2019-10-31,0.0
2019-11-30,55.86484777849046
2019-12-31,81.20140995495817
2020-01-31,13.471018663071417
2020-02-29,8.731173095124909
2020-03-31,67.93814122635472
2020-04-30,98.67255718483898
2020-05-31,12.434671815887114
2020-06-30,2.4623925881101982
2020-07-31,0.15184927216023755
2020-08-31,7.032720206226945
2020-09-30,0.0
2020-10-31,0.0
2020-11-30,16.01517333916411
2020-12-31,29.295056509043704
2021-01-31,85.38362514235828
2021-02-28,15.914084501751033
2021-03-31,15.195456299084709
2021-04-30,2.136382051905209
2021-05-31,1.2795224725764325
2021-06-30,1.348267096693637
2021-07-31,6.932846248101454
2021-08-31,4.882078130403147
2021-09-30,5.479103333822745
2021-10-31,41.06744845978187
2021-11-30,1.3865327866274157
2021-12-31,152.75124732064637
2022-01-31,0.0
2022-02-28,7.286076755874417
2022-03-31,17.769564257794247
2022-04-30,8.071966851775166
2022-05-31,0.21329831725340506
2022-06-30,5.741072709684874
2022-07-31,3.3633874882298436
2022-08-31,18.587705621760904
2022-09-30,10.51888440403785
2022-10-31,0.24516643405297223
2022-11-30,54.40688038668161
2022-12-31,132.44936845087952
2023-01-31,272.43469469794303
2023-02-28,94.6914912170924
2023-03-31,286.6729443080139
2023-04-30,0.9795526462937493
