,SWE
2000-10-31,0.0469139506469021
2000-11-30,0.8428832422427804
2000-12-31,5.1383573312920285
2001-01-31,13.203921018980557
2001-02-28,35.28345794301413
2001-03-31,-26.997089901307174
2001-04-30,-6.513072926821135
2001-05-31,-12.664429640438495
2001-06-30,-4.440962713846666
2001-07-31,-3.0415497255869175
2001-08-31,-0.6629326727404459
2001-09-30,-0.21064447005401737
2001-10-31,-0.0675439705388836
2001-11-30,7.683634743668489
2001-12-31,3.8690627159552804
2002-01-31,7.32668089918063
2002-02-28,-10.563150149582665
2002-03-31,0.4835507933237313
2002-04-30,-3.4897984615387605
2002-05-31,-2.841719523953738
2002-06-30,-1.3120715680268284
2002-07-31,-0.6182934383916487
2002-08-31,-0.2764835537388106
2002-09-30,-0.10610407920588785
2002-10-31,-0.048975470839792284
2002-11-30,0.037202426749739254
2002-12-31,9.121083161101176
2003-01-31,-5.618063329644658
2003-02-28,1.0499704011969713
2003-03-31,-1.512714077496248
2003-04-30,2.6202334896697606
2003-05-31,-2.897293604973688
2003-06-30,-1.7174715291898546
2003-07-31,-0.6617590120180369
2003-08-31,-0.1894364715647614
2003-09-30,-0.12708201276703543
2003-10-31,0.20380774476466132
2003-11-30,-0.14836654007280464
2003-12-31,24.083990019299634
2004-01-31,-13.142751321841189
2004-02-29,2.536269711100532
2004-03-31,-8.26211314560917
2004-04-30,-2.8056497617726306
2004-05-31,-1.7197669429449018
2004-06-30,-0.5430929729571046
2004-07-31,-0.2722516118475656
2004-08-31,-0.11044769515146066
2004-09-30,-0.037660746842858375
2004-10-31,0.18946787799458897
2004-11-30,3.4561043015757513
2004-12-31,0.191149417050406
2005-01-31,13.813723559039747
2005-02-28,-7.95909491615739
2005-03-31,-3.7096601476829223
2005-04-30,-2.101536212242402
2005-05-31,-2.6597117515008972
2005-06-30,-0.6258106843082535
2005-07-31,-0.3902229864952016
2005-08-31,-0.11037025573022871
2005-09-30,-0.0479914983407152
2005-10-31,-0.010190813429750395
2005-11-30,5.380473445699114
2005-12-31,-3.2328593990824666
2006-01-31,6.519799612415427
2006-02-28,1.5446735533420606
2006-03-31,40.71638039977771
2006-04-30,-28.197355457954142
2006-05-31,-15.752529542120033
2006-06-30,-5.090797744271845
2006-07-31,-0.9758190361005354
2006-08-31,-0.29055262531059844
2006-09-30,-0.2093548523880937
2006-10-31,-0.056454830293791836
2006-11-30,2.0235568318885155
2006-12-31,-0.8157633240307738
2007-01-31,-0.4703105623820927
2007-02-28,39.76191941747157
2007-03-31,-30.683433264736713
2007-04-30,-7.355681934115926
2007-05-31,-2.3034780659941574
2007-06-30,-0.4330026132091229
2007-07-31,-0.12167329397115945
2007-08-31,-0.00458407585733849
2007-09-30,-0.0003776890438826391
2007-10-31,0.0005509373828929552
2007-11-30,0.011207995589588392
2007-12-31,4.900174287880585
2008-01-31,96.15049416445021
2008-02-29,20.760222814000656
2008-03-31,-26.77809284344775
2008-04-30,-30.111101546497963
2008-05-31,-33.67117354700197
2008-06-30,-17.751618894336403
2008-07-31,-9.10130840189792
2008-08-31,-2.9158978009546304
2008-09-30,-0.6448193495991995
2008-10-31,-0.2546487731285362
2008-11-30,-0.1118866147337681
2008-12-31,36.3702293193484
2009-01-31,-31.936832388676677
2009-02-28,11.764104939553073
2009-03-31,-6.686193812573386
2009-04-30,-6.7947657548916744
2009-05-31,-2.3304048577975416
2009-06-30,-0.46005147182811373
2009-07-31,-0.25240250096609124
2009-08-31,-0.08930126873734066
2009-09-30,-0.06286399020266392
2009-10-31,-0.0023714886256838963
2009-11-30,0.018294631897911556
2009-12-31,22.0648757865977
2010-01-31,-10.284778771268067
2010-02-28,1.0296123840348148
2010-03-31,3.9056242030529873
2010-04-30,0.9913836654085237
2010-05-31,-5.750442927214792
2010-06-30,-7.639923505000659
2010-07-31,-2.6213204573257034
2010-08-31,-0.6554385219316476
2010-09-30,-0.307853179192759
2010-10-31,-0.18024806289845396
2010-11-30,30.770664141953866
2010-12-31,1.2589497556875138
2011-01-31,-32.35501975821137
2011-02-28,75.29854865216386
2011-03-31,-5.851197164940032
2011-04-30,-20.71651833576005
2011-05-31,-18.123471303136093
2011-06-30,-19.16784968361855
2011-07-31,-9.574946253287484
2011-08-31,-1.2774267953163103
2011-09-30,-0.34763408156476555
2011-10-31,-0.084072335619711
2011-11-30,0.2955896734206436
2011-12-31,-0.2840399105474201
2012-01-31,14.967506618279131
2012-02-29,16.87762072654246
2012-03-31,-8.803702757372506
2012-04-30,-10.480782137591428
2012-05-31,-7.252265614439635
2012-06-30,-3.278917179183275
2012-07-31,-1.4064737302537373
2012-08-31,-0.5698494313560702
2012-09-30,-0.28540311672910157
2012-10-31,-0.0033046763544887225
2012-11-30,0.30172647696577287
2012-12-31,13.329712733078873
2013-01-31,-11.389760174765387
2013-02-28,2.586118516909816
2013-03-31,-4.692184552684743
2013-04-30,-0.23935125004255048
2013-05-31,-0.0529383973990831
2013-06-30,-0.020598415818761776
2013-07-31,-0.0008202245838541531
2013-08-31,-0.00016229186528909765
2013-09-30,-6.430533806450845e-05
2013-10-31,0.0020137015682197743
2013-11-30,0.010438143933736807
2013-12-31,2.3004324216435035
2014-01-31,-2.2625269579368545
2014-02-28,0.08334035567396197
2014-03-31,0.5592504761929914
2014-04-30,-0.40512748524944797
2014-05-31,-0.18438461720995036
2014-06-30,-0.0940989584011056
2014-07-31,-0.007740511307777184
2014-08-31,-0.0008646458165495751
2014-09-30,-0.0003164678256469168
2014-10-31,-0.00014946867605471225
2014-11-30,8.494688716440853e-05
2014-12-31,0.6826675483209695
2015-01-31,2.2605716185982345
2015-02-28,-2.4975506859193115
2015-03-31,-0.3125654444401189
2015-04-30,-0.033526935472799765
2015-05-31,-0.06640168226605614
2015-06-30,-0.03142830771968389
2015-07-31,-0.0015191699144864587
2015-08-31,-0.000494639837866379
2015-09-30,-0.0001893991268726189
2015-10-31,-3.646765040355061e-05
2015-11-30,5.412519623204069
2015-12-31,14.874021211657414
2016-01-31,-11.658397678152847
2016-02-29,-5.060432020051392
2016-03-31,-0.8069083547279727
2016-04-30,-1.1370591099320828
2016-05-31,-0.8724204053019883
2016-06-30,-0.43479259772509027
2016-07-31,-0.24300874697533925
2016-08-31,-0.06966452101287336
2016-09-30,-0.0014182616003924503
2016-10-31,-0.00017349189004916285
2016-11-30,1.8905336479567962
2016-12-31,4.466849441215346
2017-01-31,54.566567277906564
2017-02-28,-28.007143861237807
2017-03-31,-22.057878209239725
2017-04-30,-5.005863745448033
2017-05-31,-4.510751298441213
2017-06-30,-0.9298880349868555
2017-07-31,-0.30845837942030824
2017-08-31,-0.1014434553619594
2017-09-30,-0.0012882443138145009
2017-10-31,-0.00037685023759291645
2017-11-30,0.005261243517134497
2017-12-31,0.037385655601342334
2018-01-31,4.880844338351069
2018-02-28,27.92115255325701
2018-03-31,-4.32530821076465
2018-04-30,-18.137716438555323
2018-05-31,-8.058410268733212
2018-06-30,-1.2890154401245342
2018-07-31,-0.723449069393646
2018-08-31,-0.2067751176167244
2018-09-30,-0.06845432441825024
2018-10-31,-0.025639662713994045
2018-11-30,0.017102813350216572
2018-12-31,0.8738303276504792
2019-01-31,-0.46704499898551877
2019-02-28,58.28268459477946
2019-03-31,-29.907638600709607
2019-04-30,-24.725979296340157
2019-05-31,-3.0511988235675203
2019-06-30,-0.6423996531556876
2019-07-31,-0.17672949487231307
2019-08-31,-0.1265348609309631
2019-09-30,-0.028680255213776984
2019-10-31,-0.021863620765879166
2019-11-30,35.88546811402402
2019-12-31,-34.201803570693414
2020-01-31,4.311014803787549
2020-02-29,-2.862757166298049
2020-03-31,20.92282940813393
2020-04-30,-17.021950431545342
2020-05-31,-4.701234950480566
2020-06-30,-1.7064731788178717
2020-07-31,-0.505798733947622
2020-08-31,-0.14870311858443902
2020-09-30,-0.007162538669096543
2020-10-31,-0.000638752062899865
2020-11-30,0.04283219389434694
2020-12-31,24.75711582376276
2021-01-31,24.00748134599244
2021-02-28,-17.266129773602458
2021-03-31,-7.739813655501155
2021-04-30,-14.141841164872574
2021-05-31,-6.407620328139863
2021-06-30,-2.6362648446917167
2021-07-31,-0.5485426303666399
2021-08-31,-0.06581420636172931
2021-09-30,-0.0013864470648257817
2021-10-31,0.014192309404070336
2021-11-30,-0.011984871195265562
2021-12-31,47.12857282244915
2022-01-31,-32.4403918686515
2022-02-28,-8.473846332173373
2022-03-31,-4.262301627073679
2022-04-30,-0.7497690491954647
2022-05-31,-0.6714682623849033
2022-06-30,-0.4627643336759689
2022-07-31,-0.06997834690142646
2022-08-31,-0.0012874865604849094
2022-09-30,-0.00031928132453868524
2022-10-31,-7.196139206054911e-06
2022-11-30,2.2114746674510757
2022-12-31,35.0528714127354
2023-01-31,-28.53863790109232
2023-02-28,57.43356586016084
2023-03-31,67.67275370186937
2023-04-30,-55.26477939575702
2023-05-31,-59.15509070529985
2023-06-30,-15.377701034483568
2023-07-31,-3.28429924250883
2023-08-31,-0.4281776156907486
2023-09-30,-0.1307494259706169
2023-10-31,
