,ET
2008-04-30,38.1686371681416
2008-05-31,43.48049557522124
2008-06-30,103.31426548672566
2008-07-31,98.76559292035398
2008-08-31,87.04509734513273
2008-09-30,65.4132389380531
2008-10-31,44.6366017699115
2008-11-30,22.13890265486726
2008-12-31,15.7849203539823
2009-01-31,13.111929203539823
2009-02-28,22.600778761061946
2009-03-31,40.48835398230088
2009-04-30,43.15837168141593
2009-05-31,85.22053097345133
2009-06-30,100.95546902654867
2009-07-31,99.58201769911504
2009-08-31,87.19929203539822
2009-09-30,68.0196814159292
2009-10-31,38.03865486725664
2009-11-30,29.136566371681415
2009-12-31,8.034973451327431
2010-01-31,8.135929203539824
2010-02-28,19.15327433628319
2010-03-31,38.142017699115044
2010-04-30,40.55575221238938
2010-05-31,65.75150442477876
2010-06-30,93.65040707964602
2010-07-31,104.92261946902654
2010-08-31,90.42534513274336
2010-09-30,69.38732743362831
2010-10-31,37.923256637168144
2010-11-30,23.092247787610617
2010-12-31,6.984353982300885
2011-01-31,11.144212389380531
2011-02-28,17.4098407079646
2011-03-31,30.481415929203543
2011-04-30,32.16297345132743
2011-05-31,57.125946902654874
2011-06-30,100.3073982300885
2011-07-31,98.29111504424777
2011-08-31,93.68835398230088
2011-09-30,74.08099115044247
2011-10-31,43.76538053097345
2011-11-30,20.87532743362832
2011-12-31,20.83808849557522
2012-01-31,23.14732743362832
2012-02-29,22.147398230088495
2012-03-31,38.05168141592921
2012-04-30,69.51985840707965
2012-05-31,61.86605309734514
2012-06-30,89.83575221238938
2012-07-31,93.60453097345132
2012-08-31,89.32941592920353
2012-09-30,71.39950442477877
2012-10-31,48.291539823008854
2012-11-30,16.982230088495577
2012-12-31,12.461309734513275
2013-01-31,12.496566371681416
2013-02-28,24.634902654867254
2013-03-31,46.878725663716814
2013-04-30,55.95653097345132
2013-05-31,81.82895575221238
2013-06-30,92.12007079646018
2013-07-31,96.22768141592921
2013-08-31,85.11886725663717
2013-09-30,70.3018761061947
2013-10-31,36.5830796460177
2013-11-30,29.517592920353984
2013-12-31,14.734017699115045
2014-01-31,25.512070796460176
2014-02-28,27.848070796460178
2014-03-31,47.458265486725665
2014-04-30,55.076672566371684
2014-05-31,79.02980530973451
2014-06-30,84.53281415929203
2014-07-31,87.369203539823
2014-08-31,91.07653097345133
2014-09-30,75.07157522123893
2014-10-31,41.14959292035398
2014-11-30,30.433274336283187
2014-12-31,13.722194690265487
2015-01-31,20.26817699115044
2015-02-28,34.01812389380531
2015-03-31,56.79334513274337
2015-04-30,53.19858407079647
2015-05-31,79.24106194690266
2015-06-30,105.36608849557523
2015-07-31,105.71638938053096
2015-08-31,84.44021238938052
2015-09-30,66.0766017699115
2015-10-31,40.17118584070796
2015-11-30,19.67490265486726
2015-12-31,8.946690265486726
2016-01-31,11.16913274336283
2016-02-29,25.650831858407084
2016-03-31,44.21338053097345
2016-04-30,64.3818761061947
2016-05-31,68.97939823008849
2016-06-30,107.95667256637168
2016-07-31,94.34860176991151
2016-08-31,92.47518584070797
2016-09-30,69.73847787610619
2016-10-31,42.885663716814165
2016-11-30,17.128778761061945
2016-12-31,10.994973451327434
2017-01-31,12.765309734513274
2017-02-28,20.5529203539823
2017-03-31,39.38038938053098
2017-04-30,38.17444247787611
2017-05-31,82.73614159292036
2017-06-30,97.34697345132744
2017-07-31,107.3086017699115
2017-08-31,106.56623008849557
2017-09-30,73.1926371681416
2017-10-31,40.77380530973451
2017-11-30,25.63171681415929
2017-12-31,22.562407079646015
2018-01-31,20.00849557522124
2018-02-28,24.81316814159292
2018-03-31,37.87440707964602
2018-04-30,51.97267256637168
2018-05-31,94.56538053097346
2018-06-30,114.0870796460177
2018-07-31,114.66548672566371
2018-08-31,102.74053097345133
2018-09-30,63.44835398230088
2018-10-31,37.252672566371686
2018-11-30,26.961699115044247
2018-12-31,10.242548672566372
2019-01-31,14.324106194690266
2019-02-28,15.701097345132743
2019-03-31,33.73564601769912
2019-04-30,52.80991150442478
2019-05-31,79.22619469026549
2019-06-30,113.6938761061947
2019-07-31,92.76502654867257
2019-08-31,83.79823008849557
2019-09-30,70.93762831858407
2019-10-31,38.283327433628315
2019-11-30,32.6150796460177
2019-12-31,8.625132743362832
2020-01-31,13.181026548672566
2020-02-29,30.38499115044248
2020-03-31,40.45734513274336
2020-04-30,76.65812389380531
2020-05-31,65.35575221238938
2020-06-30,102.05040707964602
2020-07-31,96.85861946902655
2020-08-31,96.61309734513274
2020-09-30,71.00205309734513
2020-10-31,46.3643185840708
2020-11-30,16.082407079646018
2020-12-31,13.810548672566373
2021-01-31,15.573946902654868
2021-02-28,25.94548672566372
2021-03-31,44.45932743362832
2021-04-30,46.35978761061947
2021-05-31,78.44969911504424
2021-06-30,94.22853097345133
2021-07-31,96.33401769911504
2021-08-31,101.95837168141593
2021-09-30,78.92219469026548
2021-10-31,26.40821238938053
2021-11-30,31.299823008849557
2021-12-31,12.824778761061948
2022-01-31,13.809982300884956
2022-02-28,18.58704424778761
2022-03-31,48.43808849557522
2022-04-30,46.84644247787611
2022-05-31,69.46605309734512
2022-06-30,77.62987610619469
2022-07-31,84.54810619469026
2022-08-31,83.29826548672567
2022-09-30,65.23483185840709
2022-10-31,36.53748672566371
2022-11-30,16.214938053097345
2022-12-31,9.75221238938053
2023-01-31,9.550867256637169
2023-02-28,19.46237168141593
2023-03-31,31.06237168141593
2023-04-30,34.978973451327434
2023-05-31,67.00969911504424
2023-06-30,88.33996460176992
2023-07-31,90.94753982300885
2023-08-31,86.12205309734513
2023-09-30,69.69373451327434
2023-10-31,39.53161061946903
