,ET,P,SWE,wy,sumP,P_adj,D
2000-10-31,44.95512954835055,134.45000284161011,0.0,2001,134.45000284161011,134.45000284161011,0.0
2000-11-30,16.482956250884893,47.309239521081274,-1.7588512007922754,2001,181.7592423626914,49.06809072187355,0.0
2000-12-31,17.470457312756615,46.57621013499523,-0.7758992678527221,2001,228.33545249768662,47.35210940284795,0.0
2001-01-31,17.436647317004102,125.20972166487513,23.618752873766496,2001,353.54517416256175,101.59096879110864,0.0
2001-02-28,25.82639671527679,165.05722328893464,26.508046546174803,2001,518.6023974514964,138.54917674275984,0.0
2001-03-31,55.62401812261079,75.08449924968455,-50.2823188200757,2001,593.6868967011809,125.36681806976026,0.0
2001-04-30,50.32366982868468,124.22660429257468,-0.21200438580978326,2001,717.9135009937556,124.43860867838445,0.0
2001-05-31,96.95427155599603,3.877192962435125,0.0,2001,721.7906939561907,3.877192962435125,93.0770785935609
2001-06-30,84.77576100807022,2.8774874949010756,0.0,2001,724.6681814510919,2.8774874949010756,174.97535210673004
2001-07-31,82.52748690358204,0.22263169193977944,0.0,2001,724.8908131430316,0.22263169193977944,257.2802073183723
2001-08-31,74.89680872150643,0.0,0.0,2001,724.8908131430316,0.0,332.1770160398787
2001-09-30,64.72993628769643,11.79783294505131,0.0,2001,736.6886460880829,11.79783294505131,385.10911938252383
2001-10-31,37.24261362027467,26.293320154272447,0.0,2002,26.293320154272447,26.293320154272447,396.0584128485261
2001-11-30,24.44902166218321,168.70572981785668,12.136172319881162,2002,194.99904997212911,156.56955749797552,263.9378770127338
2001-12-31,12.537811128415683,271.9146794901371,40.46079298270437,2002,466.9137294622662,231.4538865074327,45.02180163371676
2002-01-31,13.607857850771623,107.12046487150806,-0.03077140734978201,2002,574.0341943337743,107.15123627885785,0.0
2002-02-28,34.31560809854169,98.49893758069828,-32.33583277331731,2002,672.5331319144725,130.83477035401557,0.0
2002-03-31,51.60475152201613,165.38484586252204,-5.345771584196939,2002,837.9179777769946,170.73061744671898,0.0
2002-04-30,49.031952428146674,43.24117342807586,-12.432497435716058,2002,881.1591512050704,55.67367086379192,0.0
2002-05-31,86.0698456746425,53.32710447522939,-2.452092102005447,2002,934.4862556802998,55.779196577234835,30.29064909740766
2002-06-30,97.25670111850488,0.0,0.0,2002,934.4862556802998,0.0,127.54735021591253
2002-07-31,83.59266034263061,0.5851545223907791,0.0,2002,935.0714102026906,0.5851545223907791,210.55485603615236
2002-08-31,75.3985332011893,0.0,0.0,2002,935.0714102026906,0.0,285.95338923734164
2002-09-30,60.14629194393317,0.47909749553479025,0.0,2002,935.5505076982254,0.47909749553479025,345.62058368574003
2002-10-31,29.545986124876116,0.0004494286564641642,0.0,2003,0.0004494286564641642,0.0004494286564641642,375.1661203819597
2002-11-30,34.10541696163102,128.6985428896118,0.0,2003,128.69899231826824,128.6985428896118,280.57299445397894
2002-12-31,14.609752229930624,308.9399551902803,62.43281576061969,2003,437.63894750854854,246.50713942966058,48.67560725424897
2003-01-31,21.304609939119352,48.7324429785741,-53.79644890885298,2003,486.3713904871226,102.52889188742708,0.0
2003-02-28,30.05931757043748,74.6661454813867,1.1686768294839585,2003,561.0375359685092,73.49746865190275,0.0
2003-03-31,51.455670395016284,97.38990145245474,-8.436883245499242,2003,658.427437420964,105.82678469795398,0.0
2003-04-30,43.40579074047854,249.21161742326285,11.7342694443462,2003,907.6390548442268,237.47734797891664,0.0
2003-05-31,93.29857567605833,58.51232387573628,-13.102429880097624,2003,966.1513787199632,71.6147537558339,21.683821920224432
2003-06-30,88.72616451932606,0.0,0.0,2003,966.1513787199632,0.0,110.4099864395505
2003-07-31,88.02213507008352,0.9039324205985533,0.0,2003,967.0553111405617,0.9039324205985533,197.52818908903546
2003-08-31,88.427090471471,26.497605029494224,0.0,2003,993.5529161700559,26.497605029494224,259.45767453101223
2003-09-30,66.04693189862665,1.9439761610835125,0.0,2003,995.4968923311394,1.9439761610835125,323.56063026855537
2003-10-31,34.69208268441171,1.6999198425792212,0.06394793619354157,2004,1.6999198425792212,1.6359719063856797,356.6167410465814
2003-11-30,22.12077870593232,85.94936331996838,0.43560994588476654,2004,87.6492831625476,85.51375337408362,293.2237663784301
2003-12-31,14.151029307659634,288.5746190515134,39.04078095709689,2004,376.223902214061,249.53383809441652,57.84095759167323
2004-01-31,13.802542828826276,100.68683707600638,-5.093163088458958,2004,476.9107392900674,105.78000016446535,0.0
2004-02-29,25.03667846524139,212.4518896923348,25.643369999646325,2004,689.3626289824022,186.80851969268846,0.0
2004-03-31,65.22228231629617,39.57049874007379,-58.41877409542676,2004,728.933127722476,97.98927283550054,0.0
2004-04-30,79.19539855585441,13.446526010056623,-1.671771654935805,2004,742.3796537325326,15.118297664992427,64.07710089086198
2004-05-31,59.155373070933024,15.830664036317561,0.0,2004,758.2103177688501,15.830664036317561,107.40180992547745
2004-06-30,90.08906413705225,2.1321041079883627,0.0,2004,760.3424218768386,2.1321041079883627,195.35876995454134
2004-07-31,84.90807588843269,0.4966677482860862,0.0,2004,760.8390896251246,0.4966677482860862,279.77017809468794
2004-08-31,72.8745943650007,0.0023600310899520756,0.0,2004,760.8414496562145,0.0023600310899520756,352.6424124285987
2004-09-30,60.12341214781253,8.895578396258351,0.0,2004,769.7370280524729,8.895578396258351,403.87024618015283
2004-10-31,37.94267591674924,175.40968118436095,6.041311498602909,2005,175.40968118436095,169.36836968575804,272.44455241114406
2004-11-30,19.13796120628628,90.3701026044172,1.5592614862236074,2005,265.77978378877816,88.8108411181936,202.77167249923673
2004-12-31,18.3832422483364,187.26798517979734,26.01085841615677,2005,453.0477689685755,161.25712676364057,59.897787983932574
2005-01-31,17.769249504389688,261.0976644286504,44.384819439040804,2005,714.1454333972258,216.71284498960958,0.0
2005-02-28,30.5790059473237,125.74313473763046,-41.74831110953916,2005,839.8885681348563,167.49144584716962,0.0
2005-03-31,56.904701217785316,243.46477811890756,-0.623315530718358,2005,1083.353346253764,244.08809364962593,0.0
2005-04-30,54.24878787878789,74.59356565472424,-23.90351218476993,2005,1157.9469119084881,98.49707783949418,0.0
2005-05-31,87.46578589634663,135.5502643392898,-11.721112014996644,2005,1293.497176247778,147.27137635428645,0.0
2005-06-30,102.44948456527892,51.30987947666216,0.0,2005,1344.80705572444,51.30987947666216,51.13960508861676
2005-07-31,93.62057490795809,0.0,0.0,2005,1344.80705572444,0.0,144.76017999657483
2005-08-31,78.40856697819314,1.0539714571309597,0.0,2005,1345.861027181571,1.0539714571309597,222.114775517637
2005-09-30,61.2017048994619,11.702419924998335,0.0,2005,1357.5634471065694,11.702419924998335,271.6140604921006
2005-10-31,36.04911356556216,21.021195633273834,0.0,2006,21.021195633273834,21.021195633273834,286.6419784243889
2005-11-30,31.889878221467,68.42938717177363,3.6539808297669163,2006,89.45058280504746,64.7754063420067,253.75645030384922
2005-12-31,16.52770886434438,435.1627660789061,6.053690800410288,2006,524.6133488839536,429.1090752784958,0.0
2006-01-31,16.194811668082693,233.1811943241783,13.627276907296723,2006,757.7945432081319,219.55391741688157,0.0
2006-02-28,31.76018691588785,115.92006947680721,-9.362748912389918,2006,873.7146126849391,125.28281838919713,0.0
2006-03-31,34.677941093174745,300.15044056761525,54.468432780391204,2006,1173.8650532525544,245.68200778722405,0.0
2006-04-30,42.27496459926365,301.45232693353734,-46.599936335019294,2006,1475.3173801860917,348.05226326855666,0.0
2006-05-31,94.10445482866044,35.91773670798555,-21.84069607045592,2006,1511.2351168940772,57.75843277844147,36.34602205021897
2006-06-30,103.19829226847918,0.8793423702087024,0.0,2006,1512.1144592642859,0.8793423702087024,138.66497194848944
2006-07-31,95.60091475502686,0.22880574569639053,0.0,2006,1512.3432650099824,0.22880574569639053,234.0370809578199
2006-08-31,77.05329085244973,0.009836275560539067,0.0,2006,1512.3531012855428,0.009836275560539067,311.0805355347091
2006-09-30,58.493687340696674,0.1650823222046068,0.0,2006,1512.5181836077475,0.1650823222046068,369.40914055320115
2006-10-31,37.01433305012743,16.817612426941484,0.0,2007,16.817612426941484,16.817612426941484,389.6058611763871
2006-11-30,27.147530444633247,95.92258292451993,6.340466169136633,2007,112.74019535146141,89.5821167553833,327.1712748656371
2006-12-31,18.698943642027746,142.3081291771738,-1.360414529763375,2007,255.04832452863522,143.66854370693719,202.20167480072763
2007-01-31,26.175083545737746,44.91319076559543,-2.7767127648286385,2007,299.96151529423065,47.68990353042407,180.68685481604132
2007-02-28,30.895454545454548,268.99802805292984,60.74332401938248,2007,568.9595433471604,208.25470403354737,3.327605327948504
2007-03-31,59.44852166525065,43.40680518393077,-62.71672620521348,2007,612.3663485310913,106.12353138914426,0.0
2007-04-30,52.17713678844518,75.35059085745681,-0.22993668871361378,2007,687.7169393885481,75.58052754617042,0.0
2007-05-31,94.69962900028318,25.821492474700012,0.0,2007,713.5384318632481,25.821492474700012,68.87813652558317
2007-06-30,90.37142452563012,3.3206171513526415,0.0,2007,716.8590490146007,3.3206171513526415,155.92894389986066
2007-07-31,86.94750212404416,0.33596890442532706,0.0,2007,717.1950179190261,0.33596890442532706,242.54047711947948
2007-08-31,75.24397621070517,0.13498602627728576,0.0,2007,717.3300039453034,0.13498602627728576,317.6494673039074
2007-09-30,56.95578023222883,12.455308863256935,0.0,2007,729.7853128085603,12.455308863256935,362.1499386728793
2007-10-31,38.87444633248371,49.61268413456118,0.0,2008,49.61268413456118,49.61268413456118,351.4117008708018
2007-11-30,35.67564995751911,29.64184563402942,0.0,2008,79.2545297685906,29.64184563402942,357.44550519429146
2007-12-31,16.565562163693006,141.0439673507539,14.128709369363,2008,220.2984971193445,126.9152579813909,247.09580937659356
2008-01-31,16.644403851600114,252.49174262967287,76.43469034060763,2008,472.79023974901736,176.05705228906524,87.68316093912844
2008-02-29,31.448637779665816,142.9903298572761,-32.71113783468323,2008,615.7805696062935,175.70146769195932,0.0
2008-03-31,51.836253186066244,26.48730188729837,-45.032363031867874,2008,642.2678714935918,71.51966491916625,0.0
2008-04-30,68.81245822713112,6.289907653900158,-12.176917907544304,2008,648.5577791474919,18.466825561444463,50.34563266568665
2008-05-31,61.42400453129423,39.16086028623149,-0.6429809358752168,2008,687.7186394337234,39.803841222106705,71.96579597487417
2008-06-30,101.02278674596431,0.012336186952968536,0.0,2008,687.7309756206764,0.012336186952968536,172.9762465338855
2008-07-31,89.22637496459923,0.015014398619667012,0.0,2008,687.7459900192961,0.015014398619667012,262.1876070998651
2008-08-31,77.55768337581421,0.0,0.0,2008,687.7459900192961,0.0,339.7452904756793
2008-09-30,60.685346927216074,0.15541426370751762,0.0,2008,687.9014042830037,0.15541426370751762,400.27522313918786
2008-10-31,45.70850184083828,37.3773410863718,0.0,2009,37.3773410863718,37.3773410863718,408.6063838936543
2008-11-30,23.568915321438688,106.14360602822137,0.0,2009,143.52094711459318,106.14360602822137,326.0316931868716
2008-12-31,18.074262248654772,130.8017047366967,50.7705584833587,2009,274.3226518512899,80.03114625333801,264.0748091821884
2009-01-31,23.60200792976494,100.19240894790639,-46.08195097796486,2009,374.51506079919625,146.27435992587124,141.4024571860821
2009-02-28,28.14147833474936,198.53098561247816,19.44947476390903,2009,573.0460464116744,179.08151084856914,0.0
2009-03-31,51.07378929481732,157.95118906954525,-15.318395642485763,2009,730.9972354812197,173.26958471203102,0.0
2009-04-30,52.85318040215234,53.92934920550213,-8.416934884872497,2009,784.9265846867219,62.346284090374624,0.0
2009-05-31,94.30047578589634,101.4723892103952,-0.4027517419446116,2009,886.398973897117,101.87514095233982,0.0
2009-06-30,100.96705465873691,5.986174812757009,0.0,2009,892.385148709874,5.986174812757009,94.9808798459799
2009-07-31,89.06990370999715,0.159226554441458,0.0,2009,892.5443752643155,0.159226554441458,183.8915570015356
2009-08-31,75.80024072500706,0.7562983056069621,0.0,2009,893.3006735699224,0.7562983056069621,258.9354994209357
2009-09-30,64.10553950722175,2.735051291046361,0.0,2009,896.0357248609688,2.735051291046361,320.30598763711106
2009-10-31,40.02385443217217,84.69245349188894,0.0,2010,84.69245349188894,84.69245349188894,275.6373885773943
2009-11-30,31.519490229396773,33.61266733367193,0.3887100767516714,2010,118.30512082556086,33.22395725692026,273.9329215498708
2009-12-31,15.374194279241006,165.75963495093714,25.75460686874404,2010,284.06475577649803,140.0050280821931,149.30208774691872
2010-01-31,17.991968280940238,189.50642838958683,11.240476779966755,2010,473.57118416608483,178.26595160962006,0.0
2010-02-28,25.440676862078732,122.44368018743681,-8.382378948113043,2010,596.0148643535216,130.82605913554985,0.0
2010-03-31,43.64099688473519,128.23220563549756,-3.2540586425211266,2010,724.2470699890192,131.4862642780187,0.0
2010-04-30,45.472039082412905,170.29044709867063,-11.67757224206842,2010,894.5375170876898,181.96801934073903,0.0
2010-05-31,77.95281506655336,107.92202357852467,-13.675697662080431,2010,1002.4595406662145,121.5977212406051,0.0
2010-06-30,102.23392240158594,2.5026599565684897,-0.3940862306794469,2010,1004.962200622783,2.8967461872479365,99.337176214338
2010-07-31,92.96206173888416,0.10082230226457042,0.0,2010,1005.0630229250476,0.10082230226457042,192.1984156509576
2010-08-31,77.89984706881901,0.111684932820922,0.0,2010,1005.1747078578685,0.111684932820922,269.9865777869557
2010-09-30,63.205092041914455,0.23309473979149495,0.0,2010,1005.40780259766,0.23309473979149495,332.95857508907864
2010-10-31,37.10176720475785,172.9403267075429,0.0,2011,172.9403267075429,172.9403267075429,197.12001558629356
2010-11-30,27.910866610025497,180.94753254719623,52.56987231634423,2011,353.88785925473917,128.377660230852,96.65322196546705
2010-12-31,15.457114131973942,339.60242287125044,3.663495207441727,2011,693.4902821259896,335.9389276638087,0.0
2011-01-31,23.161653922401584,67.98332060563804,-22.06281611431401,2011,761.4736027316276,90.04613671995205,0.0
2011-02-28,30.425548003398468,173.41760399762722,78.58936087433244,2011,934.8912067292548,94.82824312329478,0.0
2011-03-31,40.64603228547154,401.77970902478745,34.93113571251726,2011,1336.6709157540422,366.8485733122702,0.0
2011-04-30,43.18339847068818,50.393257972554515,-114.24422593994277,2011,1387.0641737265967,164.6374839124973,0.0
2011-05-31,81.41323137921268,95.27227599020199,-29.65656279842961,2011,1482.3364497167988,124.9288387886316,0.0
2011-06-30,107.15334749362783,76.1525657234917,-3.7902592579492813,2011,1558.4890154402906,79.94282498144099,27.21052251218684
2011-07-31,90.86094590767489,0.2168993119228947,0.0,2011,1558.7059147522134,0.2168993119228947,117.85456910793883
2011-08-31,81.44654772019256,0.0,0.0,2011,1558.7059147522134,0.0,199.3011168281314
2011-09-30,66.52904559614838,5.9216639188115945,0.0,2011,1564.627578671025,5.9216639188115945,259.9084985054682
2011-10-31,43.11474936278674,89.07997692789797,0.0,2012,89.07997692789797,89.07997692789797,213.94327094035694
2011-11-30,27.574862645143014,38.37594343865518,0.0,2012,127.45592036655316,38.37594343865518,203.14219014684477
2011-12-31,25.105103370150097,1.7968845967674267,0.0,2012,129.25280496332059,1.7968845967674267,226.45040892022743
2012-01-31,24.446711029307657,149.10058951994432,0.9328334453365403,2012,278.3533944832649,148.16775607460778,102.72936387492732
2012-02-29,35.19884468356223,47.097776535837966,3.526014218512363,2012,325.45117101910284,43.5717623173256,94.35644624116395
2012-03-31,42.99089621973665,262.00867982507367,3.8990556361192663,2012,587.4598508441766,258.1096241889544,0.0
2012-04-30,75.21562508848929,164.40437261078256,-8.35790329996817,2012,751.8642234549591,172.76227591075073,0.0
2012-05-31,69.82843267733257,8.542902479600707,0.0,2012,760.4071259345599,8.542902479600707,61.285530197731866
2012-06-30,90.1168851762707,20.131698511401453,0.0,2012,780.5388244459613,20.131698511401453,131.27071686260112
2012-07-31,88.35832649015998,5.006226489046604,0.0,2012,785.5450509350079,5.006226489046604,214.6228168637145
2012-08-31,80.07096984284297,1.8542681274659367,0.0,2012,787.3993190624739,1.8542681274659367,292.83951857909153
2012-09-30,61.895466515644905,1.8575568250107526,0.0,2012,789.2568758874846,1.8575568250107526,352.87742826972567
