,basin,D_P,D_ET,P_ET,D_var,P_var,ET_var,year
0,11446500,0.03245559715551083,0.9344128080939675,0.172412784874348,21789.33615604188,19872.101214164082,17075.95710429858,2001
1,11446500,0.11692985649233109,0.9567498938593083,0.2084918171485107,12877.324617681068,80275.50794086752,19209.43562100804,2002
2,11446500,-0.06090339854377972,0.9262604221207241,0.13399569560731084,11385.141800794736,130675.6842157765,17003.483384695697,2003
3,11446500,-0.14909054649929607,0.9515498206473001,0.06419327270107639,17634.819316516496,69153.96741182181,24769.101208140517,2004
4,11446500,0.06705874368373485,0.9302805403250319,0.18596673706338993,5862.067231552858,108217.50693016006,14811.602388392374,2005
5,11446500,0.11248290019885926,0.9314272317882326,0.2514465714925178,17204.15813384152,231543.02351345404,17627.81661908061,2006
6,11446500,-0.17128932747701262,0.8881140943770759,0.19633967412601572,13715.076927793578,56068.58686216142,20768.666552410246,2007
7,11446500,-0.2066522979510647,0.869329093218539,0.11024716815025828,28362.72617662867,56197.29798813553,20997.035910341045,2008
8,11446500,-0.07220628872631217,0.7826822162956619,0.18131944695191596,12209.190756321434,89160.66969714998,16039.900569631722,2009
9,11446500,-0.00913583050185099,0.8641014905131674,0.15202739017873007,14091.817451974655,78896.52565687543,11796.592732707375,2010
10,11446500,-0.014640050062134969,0.9290748795076389,0.09875632152044794,6873.409723700558,180922.8819902022,14202.347105468909,2011
11,11446500,0.2907216940880363,0.9553961987860157,0.41874947708653304,12610.292562780629,58696.87651802503,18145.37910812196,2012
12,11446500,-0.12422739382586799,0.8799066634505098,0.31014824260481394,8437.376057366582,67223.13178000008,21133.449377814264,2013
13,11446500,-0.029733442504660205,0.9172614615321688,0.28547443576936954,11756.773655809939,31936.30715720119,18987.741346129947,2014
14,11446500,0.05664517567943194,0.8798606616050618,0.3958945430540096,14122.24181578918,24143.625298479565,17983.763247597253,2015
15,11446500,0.16303530097737123,0.9469125997005517,0.33668491694289554,6312.477083266715,114831.67686905735,14515.677116500578,2016
16,11446500,0.05203916249940091,0.9082439182018535,0.17322841431468136,15359.992513501562,336602.9929756748,16575.207110936644,2017
17,11446500,0.29392888267344947,0.9307383883758888,0.42043686595647006,11117.201797552956,68551.0246870131,15318.750177144479,2018
18,11446500,0.16770359056443226,0.8742610461805682,0.26492441171245,5099.446220265806,128378.85151205548,12975.045369576494,2019
19,11446500,0.338828019754025,0.9667591957300351,0.4031749235342734,6113.29306106901,31291.162715699687,16429.496000319512,2020
20,11446500,-0.06591208549870937,0.9114487430280437,0.24251732683469499,24090.94058940561,20474.14805044803,24616.09052883462,2021
21,11446500,,,,,,,2022
22,11446500,,,,,,,2023
23,11270900,,,,,,,2001
24,11270900,,,,,,,2002
25,11270900,,,,,,,2003
26,11270900,,,,,,,2004
