,ET,P,SWE,wy,sumP,D
2000-10-31,40.09538773283457,115.93672900799532,8.321050846486258,2001,115.93672900799532,0.0
2000-11-30,13.239964149325854,43.48263247445887,0.2972175327107429,2001,159.41936148245418,0.0
2000-12-31,14.061720832359136,42.121147132068195,0.16332646087992053,2001,201.5405086145224,0.0
2001-01-31,12.895853791598475,152.0446072142614,129.89682116393314,2001,353.5851158287838,0.0
2001-02-28,22.382102719975073,198.64214773350548,79.86791597280947,2001,552.2272635622893,0.0
2001-03-31,46.61977086743046,117.05418246797005,-12.994565010495563,2001,669.2814460302593,0.0
2001-04-30,43.476171771490925,161.74698599586958,42.15068741010924,2001,831.0284320261289,0.0
2001-05-31,78.58037721144105,3.8735779765994445,-57.584484187505694,2001,834.9020100027283,17.12231504733591
2001-06-30,72.44526225547506,1.3017259969487678,-50.94049275844702,2001,836.2037359996771,37.32535854741518
2001-07-31,75.42036006546648,7.164083377108718,-47.40342204166829,2001,843.3678193767859,58.17821319410465
2001-08-31,66.0483298262022,0.16166866837561478,-41.30201878895033,2001,843.5294880451614,82.76285556298092
2001-09-30,54.725455537370465,14.455202486549199,-22.73300813085988,2001,857.9846905317106,100.3001004829423
2001-10-31,30.206616787467873,36.4301547733948,-11.883226893348034,2002,36.4301547733948,82.19333560366735
2001-11-30,21.99657548125634,196.7477450699116,37.96477931588737,2002,233.1778998433064,0.0
2001-12-31,9.108747564492248,302.765358331215,57.565757588991,2002,535.9432581745214,0.0
2002-01-31,10.748885598503744,93.35992235424092,-23.449922255782155,2002,629.3031805287623,0.0
2002-02-28,29.313425810473817,85.90400226402514,0.5220059738309004,2002,715.2071827927874,0.0
2002-03-31,48.22971633416462,176.51148163996243,36.594542422627214,2002,891.7186644327498,0.0
2002-04-30,36.27763871571074,59.059341814251795,-2.967504876302712,2002,950.7780062470016,0.0
2002-05-31,66.8694014962594,47.70815347542618,-22.950792898655266,2002,998.4861597224278,0.0
2002-06-30,79.82209788029927,0.8108562749763691,-35.76913986653807,2002,999.2970159974042,43.24210173878483
2002-07-31,74.12807668329177,2.9117354566803835,-30.999243456830193,2002,1002.2087514540846,83.45919950856603
2002-08-31,65.05703553615965,0.004738474106319909,-16.92780304482852,2002,1002.2134899281909,131.58369352579084
2002-09-30,50.25813746882795,8.010646912765287,-8.37423174593749,2002,1010.2241368409561,165.45695233591601
2002-10-31,24.863114089775557,1.291212654595381,-2.2655271940073893,2003,1.291212654595381,186.7633265770888
2002-11-30,28.289600997506245,170.01545515759224,2.9491350993438,2003,171.3066678121876,47.98660751634662
