,basin,D_P,D_ET,P_ET,D_var,P_var,ET_var,year
0,11446500,0.17656931151866767,0.9909675729911576,0.1781316316994119,12548.652381502432,19609.438681975917,16441.76660794349,2001
1,11446500,0.21364612581663586,0.9889285540569779,0.20594680742173274,9077.152116041603,80403.20420799752,18446.552914826472,2002
2,11446500,-0.02333306259690542,0.9668526720290914,0.1228565203764405,9475.113069934414,131642.10333278376,15967.356755549266,2003
3,11446500,-0.12852607300767732,0.9645531105896727,0.06584026303663802,16799.65161427245,68803.5821377941,23969.923093472815,2004
4,11446500,0.08400116216610079,0.9591839581894447,0.16359693837903827,4875.453596641055,107734.25950066048,13761.8059991745,2005
5,11446500,0.2262394195068823,0.990800136953569,0.2444989174058298,9860.971159908822,233339.74472623045,16621.96384184126,2006
6,11446500,-0.14522326225302257,0.9027766963797926,0.19347898562542848,11697.65425070188,56294.7522013533,19796.41907424387,2007
7,11446500,-0.1522799291720722,0.9016276840731711,0.10640976887436654,17695.165923628563,56645.67315041776,20402.01714620743,2008
8,11446500,-0.049638712218495806,0.7883929532127398,0.17667495543287115,11126.54083439851,89557.4569399391,15379.10839748362,2009
9,11446500,0.08314104744775756,0.904093306065448,0.13625276987833188,6909.490615878621,79269.48835264465,11073.45076493098,2010
10,11446500,0.008098482530123016,0.9704791118309799,0.07777864555411348,4519.252566022168,181288.38595334912,13344.380193333614,2011
11,11446500,0.3080230646807252,0.983445241174384,0.40770531003784916,10192.425771981165,59330.05935378301,17214.725547086866,2012
12,11446500,-0.11965597039431368,0.8862000483420163,0.30082683000944416,8444.838919355723,68002.56937852254,20304.966119586403,2013
13,11446500,-0.0004112281380665346,0.934600027865308,0.2804245668825287,11113.222740655903,31945.27764894801,18375.381739065673,2014
14,11446500,0.08681114133526854,0.8930465859095815,0.3943139671665829,13499.302547939278,24216.448892298366,17458.79641396597,2015
15,11446500,0.17266526448562378,0.9627024666062748,0.3328253890283516,5877.4708921371475,115275.10653083092,13930.486517714055,2016
16,11446500,0.09726538085366154,0.9741126944348176,0.16350465760210472,10885.507336672868,336022.5822244863,15773.717683977144,2017
17,11446500,0.40790107534241316,0.983602104899359,0.41614181214897245,7237.497716513666,68873.90469990582,14476.621188576495,2018
18,11446500,0.27082796190238456,0.8950137605589947,0.25633665933553174,2772.266904810954,128369.55590253399,12080.776791341681,2019
