,ET
2000-10-31,46.139136295113936
2000-11-30,16.386507049747273
2000-12-31,12.529786290680146
2001-01-31,12.928324909107033
2001-02-28,20.375830451361175
2001-03-31,48.96805178682274
2001-04-30,48.572173450385726
2001-05-31,100.55172120244747
2001-06-30,94.63455883657002
2001-07-31,93.45605391504833
2001-08-31,82.6071827613727
2001-09-30,74.57436552274541
2001-10-31,43.3135833998404
2001-11-30,20.25283320031923
2001-12-31,9.650077148177704
2002-01-31,12.969988472111377
2002-02-28,24.755853507138426
2002-03-31,46.7457160592356
2002-04-30,50.70379710916024
2002-05-31,87.71548461470249
2002-06-30,104.34742573379444
2002-07-31,94.207629688747
2002-08-31,83.36820076261418
2002-09-30,67.65786645384408
2002-10-31,35.812779994679424
2002-11-30,35.29181874612042
2002-12-31,15.31415092666489
2003-01-31,18.118088144009935
2003-02-28,28.409030770595017
2003-03-31,43.588805533386534
2003-04-30,35.637648310720934
2003-05-31,88.79013212733885
2003-06-30,96.59667642103396
2003-07-31,93.36984659040526
2003-08-31,93.6724306109781
2003-09-30,75.04375986521238
2003-10-31,37.53960095770151
2003-11-30,21.55396648044692
2003-12-31,11.57420590582602
2004-01-31,12.636332357896606
2004-02-29,19.491112884632436
2004-03-31,57.348521769974276
2004-04-30,76.01419526469807
2004-05-31,62.9179675445597
2004-06-30,107.2582850048772
2004-07-31,89.61414560610092
2004-08-31,79.08276314622682
2004-09-30,70.21573822825219
2004-10-31,44.70522302030681
2004-11-30,19.355431409062685
2004-12-31,19.609860778575865
2005-01-31,14.450119712689542
2005-02-28,27.196254322958232
2005-03-31,46.69234016139043
2005-04-30,48.171307971978365
2005-05-31,82.64199343797108
2005-06-30,97.7657745854394
2005-07-31,97.60771127072803
2005-08-31,80.6133971801011
2005-09-30,66.73013744790282
2005-10-31,39.02142059058261
2005-11-30,27.558123614436465
2005-12-31,19.19782920989625
2006-01-31,11.271863084153585
2006-02-28,28.98890130353817
2006-03-31,29.272324199698495
2006-04-30,42.19101534095947
2006-05-31,86.71614791167862
2006-06-30,98.38936596612575
2006-07-31,93.83353728828588
2006-08-31,81.39966303094795
2006-09-30,60.7226744701605
2006-10-31,37.87501640507227
2006-11-30,23.899001507493132
2006-12-31,17.78954686530106
2007-01-31,23.595637137536578
2007-02-28,24.355030593242883
2007-03-31,53.104123437084326
2007-04-30,50.36420324554402
2007-05-31,94.87447370754633
2007-06-30,94.78029972510419
2007-07-31,89.2586468032278
2007-08-31,79.3840418551033
2007-09-30,64.65752239070675
2007-10-31,32.898189234725535
2007-11-30,33.33868227365434
2007-12-31,13.936408619313648
2008-01-31,13.25091425024386
2008-02-29,25.66489669238273
2008-03-31,45.76685998049126
2008-04-30,60.30751440986077
2008-05-31,57.448739913097455
2008-06-30,101.29153498270816
2008-07-31,93.40447991487096
2008-08-31,79.41392923649907
2008-09-30,60.44996364281279
2008-10-31,42.91246962844728
2008-11-30,21.463105435842863
2008-12-31,15.618983772279863
2009-01-31,19.529910437173008
2009-02-28,24.568555466879488
2009-03-31,48.53781679524696
2009-04-30,50.81121574886938
2009-05-31,91.63957080783894
2009-06-30,101.00400461115544
2009-07-31,86.28882858916378
2009-08-31,74.75253347521503
2009-09-30,62.14776270284649
2009-10-31,34.6881830274009
2009-11-30,27.281617451449854
2009-12-31,12.873984215660194
2010-01-31,11.96779994679436
2010-02-28,21.731283142679793
2010-03-31,39.669656823623306
2010-04-30,39.74818834796488
2010-05-31,68.80260352930743
2010-06-30,92.63104017025805
2010-07-31,86.22879134521592
2010-08-31,77.85030770595017
2010-09-30,64.99586769530903
2010-10-31,34.50202004079098
2010-11-30,23.90879843930123
2010-12-31,10.777206703910617
2011-01-31,17.346797907244834
2011-02-28,23.166083178150217
2011-03-31,33.743669415624716
2011-04-30,37.54028198989093
2011-05-31,73.76297951582868
2011-06-30,98.62271880819367
2011-07-31,96.40661168750555
2011-08-31,81.06931985457123
2011-09-30,66.5230610978097
2011-10-31,41.25346812095415
2011-11-30,23.825187549880287
2011-12-31,21.260157843398062
2012-01-31,22.729804025893408
2012-02-29,31.18305932428838
2012-03-31,39.00330229671012
2012-04-30,67.96010286423694
2012-05-31,71.73438325795867
2012-06-30,96.71302651414383
2012-07-31,83.95246962844728
2012-08-31,80.28927551653808
2012-09-30,62.9232810144542
2012-10-31,44.61182938724838
2012-11-30,15.864715793207413
2012-12-31,15.030195974106588
2013-01-31,16.118818834796485
2013-02-28,30.326413053116966
2013-03-31,47.09846235700984
2013-04-30,59.3737057728119
2013-05-31,81.9326700363572
2013-06-30,90.19198723064643
2013-07-31,86.71851024208566
2013-08-31,71.63252638112974
2013-09-30,63.09862552097189
2013-10-31,35.10349206349206
2013-11-30,29.545233661434786
2013-12-31,21.451378912831427
2014-01-31,26.0409541544737
2014-02-28,30.34062250598564
2014-03-31,48.18221867517956
2014-04-30,55.986648931453395
2014-05-31,84.26402057284739
2014-06-30,84.51900328101443
2014-07-31,80.7223481422364
2014-08-31,76.73364902012946
2014-09-30,63.99439567260796
2014-10-31,36.75882592888179
2014-11-30,27.844894918861407
2014-12-31,13.59919836836038
2015-01-31,23.617543672962668
2015-02-28,37.20808016316396
2015-03-31,57.29726700363572
2015-04-30,58.50512725015517
2015-05-31,78.48185155626497
2015-06-30,99.48567881528776
2015-07-31,92.57341491531436
2015-08-31,71.58596080517869
2015-09-30,58.15292719694954
2015-10-31,33.62028198989092
2015-11-30,22.943868050013297
2015-12-31,12.846125742662055
2016-01-31,16.56855546687949
2016-02-29,28.501566019331378
2016-03-31,49.30958942981289
2016-04-30,69.6280216369602
2016-05-31,69.37892701959741
2016-06-30,107.42176110667727
2016-07-31,92.91603795335638
2016-08-31,76.28907688214949
2016-09-30,58.07314001950873
2016-10-31,42.100934645739116
2016-11-30,16.760571073867162
2016-12-31,16.507901037509978
2017-01-31,17.979256894564156
2017-02-28,30.21694422275428
2017-03-31,48.67742839407644
2017-04-30,42.649662144187275
2017-05-31,94.17061984570364
2017-06-30,108.79092666489314
2017-07-31,96.64102864236943
2017-08-31,92.91703821938458
2017-09-30,66.95150128580296
2017-10-31,37.06765274452425
2017-11-30,22.802681564245816
2017-12-31,22.14358428660105
2018-01-31,20.95240223463687
2018-02-28,30.295553782034233
2018-03-31,45.657760042564504
2018-04-30,51.32706925600781
2018-05-31,94.97303183470783
2018-06-30,113.52309302119355
2018-07-31,106.29986698590048
2018-08-31,89.47801720315688
2018-09-30,56.8898962490024
2018-10-31,35.22678017203157
2018-11-30,26.54679790724483
