,SWE
1999-10-31,0.0
1999-11-30,44.5
1999-12-31,42.5
2000-01-31,395.5
2000-02-29,352.0
2000-03-31,5.0
2000-04-30,-426.0
2000-05-31,-413.5
2000-06-30,0.0
2000-07-31,0.0
2000-08-31,0.0
2000-09-30,0.0
2000-10-31,64.5
2000-11-30,24.5
2000-12-31,30.0
2001-01-31,93.5
2001-02-28,214.0
2001-03-31,-214.5
2001-04-30,-112.0
2001-05-31,-100.0
2001-06-30,0.0
2001-07-31,0.0
2001-08-31,0.0
2001-09-30,0.0
2001-10-31,0.5
2001-11-30,140.0
2001-12-31,353.5
2002-01-31,166.5
2002-02-28,64.0
2002-03-31,104.5
2002-04-30,-364.5
2002-05-31,-464.5
2002-06-30,0.0
2002-07-31,0.0
2002-08-31,0.0
2002-09-30,0.0
2002-10-31,0.0
2002-11-30,126.0
2002-12-31,317.0
2003-01-31,137.0
2003-02-28,53.0
2003-03-31,-79.0
2003-04-30,275.0
2003-05-31,-762.5
2003-06-30,-66.5
2003-07-31,0.0
2003-08-31,0.0
2003-09-30,0.0
2003-10-31,1.0
2003-11-30,94.5
2003-12-31,396.5
2004-01-31,136.5
2004-02-29,313.5
2004-03-31,-274.0
2004-04-30,-424.5
2004-05-31,-243.5
2004-06-30,0.0
2004-07-31,0.0
2004-08-31,0.0
2004-09-30,0.0
2004-10-31,153.5
2004-11-30,11.0
2004-12-31,248.5
2005-01-31,354.5
2005-02-28,129.5
2005-03-31,224.0
2005-04-30,-105.5
2005-05-31,-839.0
2005-06-30,-176.5
2005-07-31,0.0
2005-08-31,0.0
2005-09-30,0.0
2005-10-31,0.0
2005-11-30,69.0
2005-12-31,298.5
2006-01-31,403.5
2006-02-28,199.0
2006-03-31,420.5
2006-04-30,208.0
2006-05-31,-1184.0
2006-06-30,-414.5
2006-07-31,0.0
2006-08-31,0.0
2006-09-30,0.0
2006-10-31,0.0
2006-11-30,44.0
2006-12-31,114.0
2007-01-31,34.0
2007-02-28,323.0
2007-03-31,-228.5
2007-04-30,-285.5
2007-05-31,-1.0
2007-06-30,0.0
2007-07-31,0.0
2007-08-31,0.0
2007-09-30,0.0
2007-10-31,0.0
2007-11-30,0.0
2007-12-31,146.0
2008-01-31,373.5
2008-02-29,221.5
2008-03-31,37.5
2008-04-30,-324.5
2008-05-31,-454.0
2008-06-30,0.0
2008-07-31,0.0
