,basin,D_P,D_ET,P_ET,D_var,P_var,ET_var,year
0,10265150,-0.4668645512308686,0.8036847865251253,-0.0168395340140537,6957.994943690655,53047.7102513357,5919.20945677258,2001
1,10265150,-0.40681503819793924,0.7606561839812614,0.03185881785429369,6309.078647446702,65002.06121697572,6947.120137390474,2002
2,10265150,-0.5491534826478985,0.6400989270048674,-0.0632834862134794,7922.322040757861,47448.784640374564,5391.821739089032,2003
3,10265150,-0.4778818688647688,0.641819012813864,-0.11057474032453507,17860.862121673927,41136.87981988611,7355.882176893007,2004
4,10265150,-0.43284666342534894,0.7939476837118352,-0.21726583536970964,4504.245606858938,178611.40523401825,4704.184675732916,2005
5,10265150,-0.3536408804364597,0.883508990634638,-0.2104858007019649,4864.603938014261,157680.10753727867,6304.724456710095,2006
6,10265150,-0.4842601249124765,0.7268932829298639,-0.05793563252261623,17699.484993055004,21164.407073735198,7375.342751690399,2007
7,10265150,-0.48854394105059734,0.6388824044872735,-0.06007108282924092,15990.784569737165,85262.16891069863,7636.223489946537,2008
8,10265150,-0.5719861267781291,0.4755415710628452,-0.16982069820681564,24865.831524732122,110703.2927153426,5263.2828529953495,2009
9,10265150,-0.5327831240126498,0.4148100745160542,-0.14372846332831893,26846.65715619221,121918.19699038602,5420.662311120902,2010
10,10265150,-0.5582706062384192,0.5445834031051483,-0.16150446598529514,12206.388407319997,236023.52025286102,5930.659330018966,2011
11,10265150,-0.593628749569709,0.5139443943604275,-0.03882501343432495,31126.27936241488,23870.761054316303,8461.08454770403,2012
12,10265150,-0.5783662844948257,0.5063876017416367,-0.0685221433781832,56845.03773543658,32297.782666121788,8649.243648079335,2013
13,10265150,-0.6486255483866368,0.40639639065413585,-0.0366906705316759,136620.95312218246,23769.65586165106,7223.554529498448,2014
14,10265150,-0.6157932444804483,0.37795163615703714,0.07020028353272428,208139.16048352275,8726.967908251843,6678.287218324325,2015
15,10265150,-0.6259019810041865,0.15503297029512408,0.18807147253508172,167698.59836348984,54669.64771466139,5005.485099634051,2016
16,10265150,-0.43425470848751485,0.3570017352779125,0.023735474580560283,29101.336600154562,285317.6077570888,5233.249206313705,2017
17,10265150,-0.3614276912334041,0.36873928071569967,0.08121059486379624,38521.17822855074,42076.97958812135,6132.331499948245,2018
18,10265150,-0.3104123764976998,0.43427973180348467,0.15555329322301048,20348.628701503378,93960.82575522976,5091.956573684882,2019
19,10265150,-0.4771957078471426,0.4662073213843732,-0.016391510222260913,42209.08094433498,22346.54976898731,5230.607698203652,2020
20,10265150,-0.41279400270270294,0.5199452240564391,0.10307231764893657,60832.29216121451,9059.060662133965,6989.061579400859,2021
21,10265150,-0.5192197759311616,0.5506051050288966,-0.26214566454894644,71179.38227902754,41489.4166466183,3577.7841134516816,2022
22,10265150,-0.5359439074501495,0.7040789425554895,-0.1753175076310883,9169.711036368699,221884.1063880033,4566.658445333509,2023
23,11189500,0.408981342951794,0.9872251047173136,0.464527321320697,12111.046207173174,13150.26117406386,14610.110593841362,2001
24,11189500,0.15007145484310097,0.9085651154115342,0.4428875692704622,24530.28160550556,19064.69862872852,14058.795685746722,2002
25,11189500,0.10269403185302722,0.8454100833229845,0.4455034519317085,33830.20637685175,16853.38541237506,10497.777302723089,2003
26,11189500,0.10027759070880911,0.8322293374908467,0.4176342131701474,48575.64549158763,14499.692004649783,11061.449501236613,2004
27,11189500,0.03304204335635691,0.7483076035395045,0.3938097312296839,21092.748960139765,22984.237421343714,7361.758214886556,2005
28,11189500,0.10966445272408905,0.6660895257586115,0.5562750541572654,30954.765681737845,22702.42591105429,8188.2318957182515,2006
29,11189500,0.11986164124410538,0.7204530779856232,0.6325258955182378,65296.11056973451,4970.638143107611,11951.173976782884,2007
30,11189500,0.12534351696333754,0.660376310460902,0.6455838988775724,58555.32849566681,12710.804471599704,9289.955859980999,2008
31,11189500,0.03790380506625954,0.66914579305062,0.5539168147820119,84174.31540694392,6618.069054703588,8580.184219057597,2009
32,11189500,0.02320186617121356,0.6320174542694249,0.49617645993253356,68397.69165156408,17839.88978605349,7553.1376028978275,2010
33,11189500,0.09487399435811407,0.6781615775917907,0.4861752591939756,16997.961713803157,30761.390305939316,7443.487442967815,2011
34,11189500,0.06155906559050956,0.6059020201292674,0.6061827754516829,84971.57322812824,4378.702080025656,11076.031041334913,2012
35,11189500,-0.02985746411043824,0.6918951788685733,0.4621417813700623,185016.55114126936,3054.8926694943507,12037.050520413231,2013
36,11189500,-0.05500996444980993,0.7205762508688917,0.42571740979430317,312381.888039448,2128.421503510406,11131.43249946398,2014
37,11189500,-0.011799429144724174,0.7058590561976026,0.5000230031587806,450754.7521037566,1779.989885389957,11807.894912050135,2015
38,11189500,-0.06387717441422856,0.5911904271461289,0.3672898691010976,542837.5191052344,9245.869454537578,10448.068396424085,2016
39,11189500,-0.050309090170675884,0.6587664919529759,0.272562824805699,277765.3577003994,31552.9898604852,9374.264344543953,2017
40,11189500,0.01136205850135099,0.6250816151627001,0.42862286798217153,490012.32188256824,4023.3502853887667,13272.51157482173,2018
41,11189500,-0.027450556763157812,0.7114364557368128,0.4072363798308303,445092.94976792607,15033.802808086548,7333.749501159551,2019
42,11189500,-0.06627845731457341,0.7196767486518781,0.3975101908214873,542932.1828278021,3102.01052536774,8087.749275472446,2020
43,11189500,0.03152722237772359,0.708320860133223,0.5438793200208336,675349.5093338616,2387.1208831781746,11753.863381243127,2021
44,11189500,0.01422018052158554,0.7619277535365419,0.4201875079344633,979519.276446602,5062.87793680032,7190.836005407262,2022
45,11189500,0.04183251836780434,0.7175156053869467,0.41195444381979923,403296.6801779443,61526.991162764294,5582.180513190931,2023
46,11203580,-0.23603684333595432,0.996672240104737,-0.23193624525558348,5483.4501760219655,9850.856546717558,6384.836174692847,2001
47,11203580,-0.5584947749966171,0.8070485540655933,-0.21807258480511812,8138.728540199692,23474.266983014913,6060.453636190135,2002
48,11203580,-0.6392869677561185,0.7284077254448018,-0.2798215347071148,10525.093579402803,27391.249519627003,6517.176895409362,2003
49,11203580,-0.706205210402022,0.792118801630354,-0.49131398450463537,33041.60774336569,15403.541962036341,6523.2701729502705,2004
50,11203580,-0.7316938049877646,0.7731763353860197,-0.6692833862247488,19651.9393561514,44547.63193629965,3573.636622635308,2005
51,11203580,-0.7406287213840342,0.7494285749512207,-0.6172415992364697,6647.745940592409,20180.515988359257,2061.272117362014,2006
52,11203580,-0.7791050186324647,0.8098967952420514,-0.5462960153920715,41664.004837987035,4201.860411483862,4283.312073178596,2007
53,11203580,-0.8046030140332799,0.8538185675362996,-0.6118720267988305,89948.34191692725,4997.534746596244,5299.753206610401,2008
54,11203580,-0.8116273600742044,0.8753339766067064,-0.6602312897512487,189995.26893834004,7417.978892804171,4664.626832396967,2009
55,11203580,-0.8149870997922648,0.8425614986935881,-0.6799418466202493,170072.34640043412,9768.956645567023,4501.207079577911,2010
56,11203580,-0.6643418789797256,0.5899981369732882,-0.7211165885920792,95007.42405752985,19051.628950829272,4234.058396068796,2011
57,11203580,-0.7166126803701034,0.3659957848445575,-0.5087154489772103,132515.32240793816,4449.6541609751,3128.2246326251934,2012
58,11203580,-0.750985602763621,0.44110344200976637,-0.4411637941779229,180813.85434991782,1589.083743810452,3190.6811919589463,2013
59,11203580,-0.7755355021334378,0.25651062772065464,-0.28017525424248535,232283.0059676555,1853.4200836652503,2665.6349666121987,2014
60,11203580,-0.7458787368642722,0.08661133044481632,-0.10010157633492016,274079.1161424478,1448.6111954315809,1928.8036425169917,2015
61,11203580,-0.7906522807004173,0.6295477938097008,-0.47543443875416175,415735.13899576315,9108.806772839316,894.7356493977276,2016
62,11203580,-0.7528668431549077,0.6939139973938848,-0.6469742133275009,384706.31962184585,35912.34172390471,1654.2949045158657,2017
