,ET,P,SWE,wy,sumP,D
2000-10-31,28.029464733707393,101.38096981691177,22.989462203886767,2001,101.38096981691177,0.0
2000-11-30,10.330908324875042,19.33632490525384,-0.38589644891677466,2001,120.7172947221656,0.0
2000-12-31,11.61411953961353,25.41752153502671,-1.1291252428868859,2001,146.1348162571923,0.0
2001-01-31,9.857765861692549,153.7802564994846,242.33888297627033,2001,299.9150727566769,98.41639233847826
2001-02-28,18.583561675316464,196.80702336049916,140.99444437004405,2001,496.7220961171761,61.18737502333961
2001-03-31,33.12620640787481,116.74017445037047,32.90521159804166,2001,613.4622705675465,10.478618578885609
2001-04-30,37.27221249784551,159.5936201183208,62.501411961302495,2001,773.0558906858673,0.0
2001-05-31,53.54568971790795,6.7720224921455605,-100.32543665921514,2001,779.827913178013,0.0
2001-06-30,48.67757856636725,0.0,-100.98432490923108,2001,779.827913178013,0.0
2001-07-31,58.529789149127645,37.60855595421098,-88.71256617883532,2001,817.4364691322239,0.0
2001-08-31,48.04752628454334,2.3814334496722034,-81.73862062226041,2001,819.8179025818961,0.0
2001-09-30,37.72984123944308,19.524664046726034,-41.36739818121396,2001,839.3425666286222,0.0
2001-10-31,20.354016508033766,35.48430149233908,-15.340676369230877,2002,35.48430149233908,0.0
2001-11-30,18.919674435528655,168.97258082327033,72.4033956393666,2002,204.45688231560942,0.0
2001-12-31,6.929067545052375,286.20254986311716,82.24814976050078,2002,490.65943217872655,0.0
2002-01-31,7.950518070212395,92.26215899914371,-74.15392707480922,2002,582.9215911778703,0.0
2002-02-28,19.151356175665068,56.805699877497986,1.9290717676544773,2002,639.7272910553683,0.0
2002-03-31,36.97698887250301,99.94224088261362,28.70825536996003,2002,739.6695319379819,0.0
2002-04-30,23.3896018233007,58.10310277924241,-10.205818652012539,2002,797.7726347172243,0.0
2002-05-31,42.449739336946735,50.165732971358615,-29.532105137070744,2002,847.9383676885828,0.0
2002-06-30,52.16400206845035,4.073636285871679,-62.26773626557622,2002,852.0120039744546,0.0
2002-07-31,52.79297799398615,3.984469262637873,-60.994833709645874,2002,855.9964732370925,0.0
2002-08-31,47.27825637293392,0.3335600493044363,-23.428379078041743,2002,856.3300332863969,23.51631724558774
2002-09-30,34.79477984410011,15.50615175452203,-5.67218502445066,2002,871.8361850409188,37.13276031071516
2002-10-31,17.6217846130274,5.9144031082164465,-0.5810018056958568,2003,5.9144031082164465,48.25914000983026
2002-11-30,23.879823032578088,193.44534516648525,19.692274979501185,2003,199.3597482747017,0.0
2002-12-31,8.442420086951524,267.0744236223182,116.76768670888569,2003,466.4341718970199,0.0
2003-01-31,12.660506848003056,32.49581760319598,-79.59165235543003,2003,498.92998950021587,0.0
2003-02-28,18.01324624078152,95.96119731629975,31.747369602819468,2003,594.8911868165156,0.0
2003-03-31,33.92569140886887,82.82547514529914,18.47775996260259,2003,677.7166619618148,0.0
2003-04-30,33.73739220381188,195.88045440370044,49.67273069657165,2003,873.5971163655151,0.0
2003-05-31,65.43322517000287,60.1023330884907,-18.61035469561483,2003,933.699449454006,0.0
2003-06-30,48.97052006512783,0.43585589396089686,-68.59952330765138,2003,934.1353053479668,0.0
2003-07-31,52.60416588449378,16.132813848877984,-58.01884084362751,2003,950.2681191968447,0.0
2003-08-31,65.0737147782779,20.59424055042529,-13.01973188212406,2003,970.86235974727,31.459742345728557
2003-09-30,42.20037927401589,8.993151800648794,-1.711852143290839,2003,979.8555115479189,62.955117675804814
2003-10-31,20.65884570443443,1.6035864896963652,2.6715232582694277,2004,1.6035864896963652,84.6819001488123
2003-11-30,12.658710851451003,59.22391435293108,20.3749677339179,2004,60.827500842627444,58.491664381250125
2003-12-31,7.580417201417486,245.03224197324903,53.92541992815541,2004,305.8597428158765,0.0
2004-01-31,8.115072147168725,100.21110494534781,100.19851810728856,2004,406.0708477612243,8.102485309109476
2004-02-29,15.830119766216338,209.70384214994198,86.94573293930907,2004,615.7746899111662,0.0
2004-03-31,36.67299645491998,43.072836114728595,-1.7575783127999784,2004,658.8475260258948,0.0
2004-04-30,33.84546670499185,16.151699323511778,-8.993855165845247,2004,674.9992253494066,8.699912215634825
2004-05-31,27.84822918463159,21.077675033291115,-35.76556294728633,2004,696.0769003826978,0.0
2004-06-30,49.6773233687841,4.011382355054988,-61.308403399708936,2004,700.0882827377527,0.0
2004-07-31,58.40202970202163,4.758941823983983,-72.81269052516271,2004,704.8472245617368,0.0
2004-08-31,44.90893858388425,4.639611185859051,-42.5306787132257,2004,709.4868357475958,0.0
2004-09-30,35.62035527450416,1.607492787701759,-14.414559139242762,2004,711.0943285352976,19.598303347559643
2004-10-31,23.024380185877156,222.43367635309235,43.62520453373889,2005,222.43367635309235,0.0
2004-11-30,10.718811919133852,61.57743345614047,25.04641820615791,2005,284.01110980923283,0.0
2004-12-31,9.183405193063138,217.867633813008,79.01504823357556,2005,501.87874362224085,0.0
2005-01-31,8.833291811195643,357.39531868471653,158.04685330382318,2005,859.2740623069574,0.0
2005-02-28,20.561002663804828,163.63153305623297,53.54395243496356,2005,1022.9055953631903,0.0
2005-03-31,37.30893620283245,210.8840930780992,106.6577080967329,2005,1233.7896884412896,0.0
2005-04-30,34.03741131829592,75.79581679684466,20.062013293224652,2005,1309.5855052381341,0.0
2005-05-31,77.20910369674782,186.44298151711402,-32.98318444268244,2005,1496.0284867552482,0.0
2005-06-30,47.22799486403094,3.641435491478328,-66.41001080334138,2005,1499.6699222467266,0.0
2005-07-31,56.58492861386327,2.1227436638958133,-115.28232915747111,2005,1501.7926659106224,0.0
2005-08-31,53.492488070370435,10.458729036670372,-75.52151221644863,2005,1512.2513949472927,0.0
2005-09-30,37.25951744887986,7.753900201904487,-30.50621083959018,2005,1520.0052951491973,0.0
2005-10-31,23.322597880454556,15.329515690003943,-19.054441797490483,2006,15.329515690003943,0.0
2005-11-30,23.36164964259021,26.632987700870526,-0.42571336271473115,2006,41.96250339087447,0.0
2005-12-31,8.441727065406946,314.47501727362675,90.3607854947731,2006,356.4375206645012,0.0
2006-01-31,8.601321091069407,295.9302412073974,-48.838925357672366,2006,652.3677618718987,0.0
2006-02-28,14.596136402844596,117.63432007376304,59.818936379504265,2006,770.0020819456616,0.0
2006-03-31,28.92014338016829,296.3813098612459,185.8208678751733,2006,1066.3833918069076,0.0
2006-04-30,38.86514213421763,321.485319370369,56.551632415583754,2006,1387.8687111772765,0.0
2006-05-31,41.08049301309206,53.488314726606454,-60.157314360448424,2006,1441.357025903883,0.0
2006-06-30,52.88052444938562,2.1715306221561663,-106.24811145290948,2006,1443.5285565260392,0.0
2006-07-31,61.74197090225994,24.98083409209711,-114.61971071232105,2006,1468.5093906181362,0.0
2006-08-31,50.2086710498572,0.0773510333719175,-59.57679494124761,2006,1468.5867416515082,0.0
2006-09-30,34.45691809312045,3.7327718779809805e-05,-34.96940274111509,2006,1468.586778979227,0.0
2006-10-31,23.06404493089766,11.31330551260805,-7.268865759017331,2007,11.31330551260805,4.481873659272278
2006-11-30,20.185382123483294,25.736633140889285,1.816033013257396,2007,37.049938653497335,0.746655655123682
2006-12-31,11.504705093062924,111.75634999384744,66.12559782424839,2007,148.8062886473448,0.0
2007-01-31,14.308580186600757,32.21055094921935,-140.18388438614073,2007,181.01683959656413,0.0
2007-02-28,20.2228204686093,213.6014612533779,65.6880793981789,2007,394.618300849942,0.0
2007-03-31,34.99964519033658,42.05335420715131,-5.831941458391711,2007,436.67165505709335,0.0
2007-04-30,31.119808418108306,46.32581870355065,-4.512620960230862,2007,482.99747376064397,0.0
2007-05-31,41.8196631990344,12.30184790612088,-42.28329812135982,2007,495.29932166676485,0.0
2007-06-30,47.67521045270798,1.22095205233278,-48.76150063443558,2007,496.52027371909764,0.0
2007-07-31,52.070322815487465,4.524652440213115,-24.023329142814053,2007,501.04492615931076,23.5223412324603
